League,N1,N2,N3
Argentina Prim B Nacional,D,H,D
Argentina Primera División,D,A,H
Australia A-League,A,H,D
Austria Bundesliga,H,H,D
Belgium Pro League,A,D,H
Bolivia LFPB,D,H,H
Brazil Serie A,H,D,H
Brazil Serie B,H,H,D
Brazil Serie C,D,D,H
Brazil Serie D,D,D,H
Bulgaria First League,D,H,D
Canada Canadian Premier League,D,D,H
Chile Primera B,D,H,A
Chile Primera División,D,D,H
Chile Segunda División,D,D,D
China Chinese Super League,H,D,H
Colombia Categoria Primera A,H,A,H
Colombia Categoria Primera B,D,A,D
Croatia Prva HNL,H,D,A
Czech Republic First League,A,D,H
Denmark 1st Division,D,A,D
Denmark Superliga,A,H,H
Ecuador Primera Categoría Serie A,A,A,D
Egypt Egyptian Premier League,H,D,D
England Championship,D,H,D
England EFL League One,A,H,D
England EFL League Two,D,D,H
England National League,D,H,A
England Premier League,D,D,A
Finland Veikkausliiga,H,D,D
France Ligue 1,A,A,H
France Ligue 2,A,D,A
Germany 2. Bundesliga,A,A,D
Germany Bundesliga,H,D,D
Greece Super League,H,H,H
Hungary NB I,D,A,A
Italy Serie A,A,A,A
Italy Serie B,H,A,D
Japan J1 League,A,H,D
Japan J2 League,D,H,D
Mexico Ascenso MX,A,D,D
Mexico Liga MX,A,H,D
Netherlands Eerste Divisie,H,D,H
Netherlands Eredivisie,A,D,D
Netherlands Tweede Divisie,H,H,H
Norway Eliteserien,H,H,D
Paraguay Division Profesional,A,D,D
Peru Primera División,H,A,H
Poland Ekstraklasa,H,A,D
Portugal Liga NOS,H,D,A
Portugal LigaPro,H,H,A
Republic of Ireland Premier Division,A,H,H
Romania Liga I,H,A,H
Scotland Premiership,H,D,A
Serbia SuperLiga,D,D,H
Slovakia Super Liga,H,H,D
Slovenia PrvaLiga,D,H,H
South Korea K League 1,H,H,H
South Korea K League 2,H,D,A
Spain La Liga,A,A,D
Spain Segunda División,A,A,D
Sweden Allsvenskan,A,H,D
Switzerland Super League,D,A,D
Tunisia Ligue 1,H,D,A
Turkey Süper Lig,A,A,A
USA MLS,H,H,H
USA USL Championship,D,A,H
Ukraine Ukrainian Premier League,A,A,A
Uruguay Primera División,D,H,H
Uruguay Segunda División,H,A,D
Venezuela Primera División,D,A,A
