League,Date,Time,Home,Away,FT_Odd_H,FT_Odd_D,FT_Odd_A
SWEDEN - ALLSVENSKAN,11/06/2023,12:30,Djurgarden,Norrkoping,1.55,4.2,5.75
SWEDEN - ALLSVENSKAN,11/06/2023,12:30,Hacken,Mjallby,1.36,5.25,8.0
