League,N1,N2,N3
Argentina Prim B Nacional,D,A,H
Argentina Primera División,H,H,H
Australia A-League,A,A,D
Austria Bundesliga,D,A,D
Belgium Pro League,H,D,D
Bolivia LFPB,H,H,D
Brazil Serie A,H,A,A
Brazil Serie B,H,H,D
Brazil Serie C,D,H,D
Brazil Serie D,H,H,A
Bulgaria First League,A,A,A
Canada Canadian Premier League,D,A,H
Chile Primera B,H,A,H
Chile Primera División,D,D,A
Chile Segunda División,H,H,D
China Chinese Super League,H,D,H
Colombia Categoria Primera A,H,A,H
Colombia Categoria Primera B,H,H,H
Croatia Prva HNL,D,H,A
Czech Republic First League,D,H,D
Denmark 1st Division,H,A,A
Denmark Superliga,A,D,A
Ecuador Primera Categoría Serie A,D,A,A
Egypt Egyptian Premier League,H,A,D
England Championship,A,D,H
England EFL League One,D,H,A
England EFL League Two,D,A,A
England National League,D,H,A
England Premier League,D,A,H
Finland Veikkausliiga,A,H,H
France Ligue 1,A,D,H
France Ligue 2,A,H,D
Germany 2. Bundesliga,H,H,A
Germany Bundesliga,D,A,A
Greece Super League,D,D,A
Hungary NB I,H,A,A
Italy Serie A,D,D,H
Italy Serie B,D,H,D
Japan J1 League,D,H,A
Japan J2 League,D,A,H
Mexico Ascenso MX,A,A,A
Mexico Liga MX,H,A,A
Netherlands Eerste Divisie,H,D,H
Netherlands Eredivisie,A,D,H
Netherlands Tweede Divisie,H,H,H
Norway Eliteserien,A,H,H
Paraguay Division Profesional,H,H,H
Peru Primera División,H,A,D
Poland Ekstraklasa,H,A,H
Portugal Liga NOS,H,D,H
Portugal LigaPro,D,A,A
Republic of Ireland Premier Division,H,H,A
Romania Liga I,A,D,H
Scotland Premiership,H,A,D
Serbia SuperLiga,H,A,D
Slovakia Super Liga,H,H,A
Slovenia PrvaLiga,A,H,A
South Korea K League 1,A,H,H
South Korea K League 2,A,H,H
Spain La Liga,A,H,A
Spain Segunda División,H,D,D
Sweden Allsvenskan,H,A,D
Switzerland Super League,A,D,D
Tunisia Ligue 1,H,D,A
Turkey Süper Lig,H,A,A
USA MLS,D,H,A
USA USL Championship,H,H,D
Ukraine Ukrainian Premier League,A,H,A
Uruguay Primera División,H,D,A
Uruguay Segunda División,A,A,H
Venezuela Primera División,H,D,D
