League,Date,Time,Rodada,Home,Away,FT_Odd_H,FT_Odd_D,FT_Odd_A,FT_Odd_Over05,FT_Odd_Under05,FT_Odd_Over15,FT_Odd_Under15,FT_Odd_Over25,FT_Odd_Under25,FT_Odd_Over35,FT_Odd_Under35,FT_Odd_Over45,FT_Odd_Under45,FT_Odd_BTTS_Yes,FT_Odd_BTTS_No
Argentina Primera División,2023-06-13,18:00:00,20,Colón,Estudiantes,3.2,3.0,2.3,1.1,6.25,1.49,2.4,2.45,1.47,4.75,1.16,10.0,1.05,2.1,1.63
Argentina Primera División,2023-06-13,18:00:00,20,Defensa y Justicia,Belgrano,1.87,3.4,4.1,1.08,7.25,1.4,2.7,2.2,1.58,4.0,1.21,8.25,1.06,2.05,1.68
Argentina Primera División,2023-06-13,20:30:00,20,Atlético Tucumán,Godoy Cruz,2.41,2.97,3.18,1.09,7.5,1.5,2.65,2.4,1.5,5.0,1.18,10.0,1.04,2.1,1.72
Argentina Primera División,2023-06-13,20:30:00,20,Gimnasia La Plata,Huracán,2.75,3.1,2.6,1.1,6.5,1.47,2.5,2.4,1.5,4.6,1.17,9.75,1.05,2.05,1.66
Chile Segunda División,2023-06-13,21:00:00,1,Fernández Vial,Iberia,2.1,3.1,3.4,1.06,7.5,1.41,2.7,2.3,1.6,4.1,1.2,8.5,1.05,2.0,1.77
Chile Segunda División,2023-06-13,21:00:00,1,Fernández Vial,Iberia,2.1,3.1,3.4,1.06,7.5,1.41,2.7,2.3,1.6,4.1,1.2,8.5,1.05,2.0,1.77
