League,Date,Time,Rodada,Home,Away,FT_Odd_H,FT_Odd_D,FT_Odd_A,FT_Odd_Over05,FT_Odd_Under05,FT_Odd_Over15,FT_Odd_Under15,FT_Odd_Over25,FT_Odd_Under25,FT_Odd_Over35,FT_Odd_Under35,FT_Odd_Over45,FT_Odd_Under45,FT_Odd_BTTS_Yes,FT_Odd_BTTS_No
USA USL Championship,2023-06-18,00:00:00,0,Sacramento Republic,Monterey Bay,1.49,3.9,5.25,1.01,9.7,1.25,3.75,1.84,1.94,3.0,1.36,5.5,1.1,1.8,1.95
Japan J2 League,2023-06-18,02:00:00,21,Renofa Yamaguchi,Vegalta Sendai,3.5,3.25,1.87,1.06,8.0,1.3,3.3,1.82,1.88,3.3,1.3,6.0,1.11,1.8,1.91
Japan J2 League,2023-06-18,04:00:00,21,Iwaki,JEF United,2.9,2.95,2.25,1.05,7.0,1.43,2.81,2.08,1.66,4.45,1.21,8.4,1.03,2.0,1.73
Japan J2 League,2023-06-18,06:00:00,21,Tochigi,Machida Zelvia,3.75,2.85,1.98,1.12,5.5,1.54,2.35,2.68,1.41,5.5,1.12,11.0,1.03,2.38,1.53
Japan J2 League,2023-06-18,06:00:00,21,Tokyo Verdy,ThespaKusatsu Gunma,1.65,3.3,4.8,1.08,7.0,1.42,2.7,2.17,1.61,4.5,1.18,7.5,1.07,2.2,1.62
Uruguay Primera División,2023-06-18,10:00:00,2,Racing,Plaza Colonia,2.1,3.1,3.4,1.05,7.3,1.39,2.71,2.25,1.57,4.14,1.18,8.0,1.03,1.96,1.8
Brazil Serie D,2023-06-18,11:00:00,9,CAP,Ferroviária,2.2,3.1,3.0,1.06,7.5,1.43,2.65,2.35,1.57,4.3,1.17,9.0,1.03,1.93,1.83
9288,2023-06-18,12:30:00,7,Uruguay Montevideo FC,Rampla Juniors,2.42,3.05,2.71,1.06,8.5,1.37,2.75,2.19,1.6,3.95,1.19,8.75,1.06,1.93,1.83
Chile Segunda División,2023-06-18,13:00:00,9,Concepción,Fernández Vial,2.62,3.0,2.38,1.06,8.75,1.37,2.8,2.04,1.61,4.0,1.21,8.25,1.06,1.86,1.9
Argentina Prim B Nacional,2023-06-18,13:10:00,21,Patronato,Defensores Unidos,1.7,3.2,4.8,1.05,7.1,1.41,2.64,2.2,1.53,4.3,1.17,8.4,1.03,2.2,1.6
