League,Date,Time,Rodada,Home,Away,FT_Odd_H,FT_Odd_D,FT_Odd_A,FT_Odd_Over05,FT_Odd_Under05,FT_Odd_Over15,FT_Odd_Under15,FT_Odd_Over25,FT_Odd_Under25,FT_Odd_Over35,FT_Odd_Under35,FT_Odd_Over45,FT_Odd_Under45,FT_Odd_BTTS_Yes,FT_Odd_BTTS_No
9525,2023-07-14,00:00:00,3,Guadalajara,Necaxa,1.73,3.6,4.5,1.05,10.0,1.36,3.2,2.05,1.75,3.75,1.25,7.5,1.08,1.95,1.75
9622,2023-07-14,12:30:00,1,Oţelul Galaţi,UTA Arad,2.75,3.0,2.7,1.09,6.5,1.56,2.38,2.35,1.53,4.5,1.18,9.0,1.05,2.0,1.73
9551,2023-07-14,12:45:00,1,OFK Pirin,Beroe,2.56,3.22,2.81,1.04,7.4,1.4,2.8,2.25,1.57,4.2,1.2,7.9,1.03,1.91,1.8
Egypt Egyptian Premier League,2023-07-14,14:30:00,34,Aswan FC,El Daklyeh FC,1.96,3.36,4.02,1.08,8.0,1.4,2.8,2.3,1.55,4.15,1.21,9.25,1.06,1.9,1.83
Egypt Egyptian Premier League,2023-07-14,14:30:00,34,Haras El Hodood,Ghazl El Mehalla,5.45,3.52,1.7,1.09,7.5,1.45,2.55,2.35,1.53,4.75,1.17,11.0,1.04,2.2,1.6
Egypt Egyptian Premier League,2023-07-14,14:30:00,34,National Bank of Egypt,Coca-Cola,2.95,2.7,2.55,1.07,8.25,1.39,2.8,2.25,1.57,4.1,1.21,8.75,1.07,1.8,1.9
Egypt Egyptian Premier League,2023-07-14,14:30:00,34,Pyramids FC,El Geish,1.86,3.48,4.31,1.06,9.0,1.39,2.93,2.15,1.62,3.97,1.24,8.5,1.07,1.95,1.8
9288,2023-07-14,15:00:00,11,Progreso,Sud América,1.45,4.1,6.84,1.04,11.0,1.28,3.3,1.99,1.8,3.35,1.27,6.75,1.1,2.1,1.64
9551,2023-07-14,15:00:00,1,Levski Krumovgrad,Ludogorets,9.5,5.4,1.24,1.0,14.1,1.2,4.33,1.68,2.12,2.7,1.42,4.6,1.14,2.25,1.57
Argentina Prim B Nacional,2023-07-14,15:30:00,25,Nueva Chicago,Almagro,2.16,2.99,3.88,1.12,5.05,1.66,2.22,3.2,1.3,6.55,1.06,19.0,1.02,2.57,1.48
