League,Date,Time,Rodada,Home,Away,FT_Odd_H,FT_Odd_D,FT_Odd_A,FT_Odd_Over05,FT_Odd_Under05,FT_Odd_Over15,FT_Odd_Under15,FT_Odd_Over25,FT_Odd_Under25,FT_Odd_Over35,FT_Odd_Under35,FT_Odd_Over45,FT_Odd_Under45,FT_Odd_BTTS_Yes,FT_Odd_BTTS_No
Japan J1 League,2023-06-10,04:00:00,17,Yokohama F. Marinos,Kashiwa Reysol,1.6,3.9,4.6,1.02,12.0,1.16,4.75,1.9,1.9,2.22,1.59,3.75,1.25,1.53,2.4
South Korea K League 2,2023-06-10,04:00:00,17,Sangju Sangmu,Ansan Greeners,1.44,4.2,5.5,1.04,10.0,1.22,4.0,1.68,2.1,2.62,1.44,4.5,1.17,1.8,1.91
South Korea K League 1,2023-06-10,04:30:00,18,Daegu,Suwon,2.05,3.6,3.3,1.05,9.0,1.29,3.5,1.93,1.95,3.0,1.36,5.5,1.12,1.7,2.05
South Korea K League 1,2023-06-10,06:00:00,18,Ulsan,Jeju United,1.62,4.2,4.75,1.03,11.0,1.22,4.0,1.62,2.15,2.62,1.44,4.5,1.17,1.67,2.1
South Korea K League 2,2023-06-10,06:30:00,17,Gyeongnam,Asan Mugunghwa,2.05,3.3,3.2,1.07,7.5,1.36,3.0,2.1,1.68,3.75,1.25,7.0,1.08,1.85,1.9
Japan J1 League,2023-06-10,07:00:00,17,Cerezo Osaka,Vissel Kobe,3.0,3.2,2.2,1.05,9.0,1.29,3.5,1.9,1.9,3.0,1.36,6.0,1.11,1.73,2.0
Japan J1 League,2023-06-10,07:00:00,17,Sagan Tosu,Consadole Sapporo,3.8,3.6,1.8,1.03,11.0,1.22,4.33,1.61,2.18,2.3,1.54,4.5,1.17,1.58,2.2
South Korea K League 1,2023-06-10,08:00:00,18,Daejeon Citizen,Gwangju,2.5,3.3,2.7,1.06,8.0,1.3,3.4,1.93,1.95,3.25,1.33,6.0,1.11,1.73,2.0
South Korea K League 2,2023-06-10,08:00:00,17,Busan I'Park,Gimpo Citizen,2.08,3.16,2.85,1.08,7.0,1.4,2.75,2.21,1.59,4.0,1.22,7.5,1.07,1.91,1.8
Sweden Allsvenskan,2023-06-10,10:00:00,12,Kalmar,Degerfors,1.55,3.9,5.0,1.05,9.0,1.25,3.75,1.8,2.01,3.0,1.36,5.5,1.12,1.85,1.85
Sweden Allsvenskan,2023-06-10,10:00:00,12,Värnamo,Malmö FF,4.8,3.6,1.65,1.04,10.0,1.25,3.75,1.85,1.95,2.62,1.44,4.75,1.15,1.73,2.0
Uruguay Primera División,2023-06-10,10:00:00,2,Fénix,Cerro,1.83,2.83,3.44,1.07,9.1,1.35,2.94,2.15,1.66,3.67,1.24,6.85,1.07,1.85,1.85
Sweden Allsvenskan,2023-06-10,12:30:00,12,Varberg,Halmstad,2.7,3.2,2.4,1.06,8.0,1.33,3.25,2.08,1.8,3.5,1.29,6.5,1.1,1.8,1.91
Tunisia Ligue 1,2023-06-10,12:30:00,11,Club Africain,Monastir,1.79,3.16,5.12,1.08,5.5,1.57,2.25,2.67,1.34,6.0,1.11,11.0,1.02,2.67,1.45
Tunisia Ligue 1,2023-06-10,12:30:00,11,Etoile du Sahel,ES Tunis,2.4,2.75,3.46,1.1,5.5,1.59,2.21,3.06,1.26,6.0,1.11,10.5,1.02,2.23,1.62
Canada Canadian Premier League,2023-06-10,14:00:00,9,HFX Wanderers FC,Valour FC,2.72,3.2,2.47,1.09,6.75,1.43,2.6,2.14,1.69,4.2,1.19,8.75,1.06,2.2,1.62
Argentina Prim B Nacional,2023-06-10,14:35:00,20,San Telmo,Almirante Brown,2.9,3.1,2.56,1.06,7.0,1.46,2.5,2.3,1.58,4.6,1.15,9.1,1.02,2.05,1.72
Peru Primera División,2023-06-10,15:00:00,19,Unión Comercio,Atlético Grau,2.42,3.36,2.79,1.06,10.5,1.3,3.35,1.97,1.78,3.65,1.29,7.0,1.08,1.78,2.0
Ecuador Primera Categoría Serie A,2023-06-10,15:00:00,14,Libertad,Técnico Universitario,2.88,3.4,2.2,1.05,9.25,1.28,3.4,1.95,1.85,3.1,1.32,5.75,1.11,1.7,2.1
Brazil Serie D,2023-06-10,15:00:00,7,Uniclinic,Fluminense PI,1.91,3.1,3.75,1.05,7.5,1.36,2.88,2.35,1.57,4.5,1.17,9.0,1.03,1.91,1.85
Brazil Serie D,2023-06-10,15:00:00,7,Vitória Futebol Clube (ES),Nova Iguaçu,1.82,3.1,4.56,1.06,8.5,1.37,2.8,2.2,1.53,4.05,1.2,9.0,1.03,2.12,1.69
Brazil Serie D,2023-06-10,15:00:00,7,Santo André,Noroeste,2.05,3.0,3.5,1.08,7.25,1.44,2.55,2.4,1.53,4.6,1.16,10.25,1.04,2.15,1.67
Brazil Serie D,2023-06-10,15:00:00,7,Caxias,Camboriú,1.84,3.0,4.66,1.1,6.75,1.5,2.4,2.5,1.5,4.85,1.15,11.0,1.04,2.25,1.61
9288,2023-06-10,15:00:00,6,Potencia,Miramar Misiones,4.0,3.46,1.85,0.0,0.0,0.0,0.0,2.03,1.77,0.0,0.0,0.0,0.0,0.0,0.0
9288,2023-06-10,15:00:00,6,Atenas,Sud América,2.37,3.08,3.0,1.09,6.18,1.41,2.6,2.32,1.43,4.3,1.16,9.0,1.03,1.98,1.79
Argentina Prim B Nacional,2023-06-10,15:00:00,20,Guillermo Brown,Patronato,2.3,3.2,3.26,1.05,7.1,1.41,2.64,2.48,1.5,4.25,1.17,8.3,1.03,1.97,1.78
Uruguay Primera División,2023-06-10,15:30:00,2,Peñarol,River Plate,1.49,3.07,5.14,1.05,11.5,1.29,3.28,1.84,1.87,3.22,1.3,5.85,1.1,1.95,1.75
Argentina Prim B Nacional,2023-06-10,15:30:00,20,Defensores Unidos,Gimnasia Mendoza,2.32,3.13,3.3,1.07,6.4,1.5,2.45,2.5,1.47,4.85,1.13,9.7,1.01,2.13,1.67
Argentina Prim B Nacional,2023-06-10,15:30:00,20,Agropecuario,Club Atlético Güemes,1.85,3.42,4.5,1.05,7.0,1.42,2.61,2.55,1.48,4.3,1.17,8.4,1.03,2.13,1.67
Argentina Prim B Nacional,2023-06-10,15:30:00,20,Almagro,Deportivo Morón,2.4,3.06,3.24,1.08,6.2,1.7,2.08,3.04,1.33,5.0,1.12,10.0,1.01,2.16,1.65
Brazil Serie A,2023-06-10,16:00:00,10,Coritiba,Santos,2.5,3.2,2.7,1.1,7.5,1.47,2.65,2.21,1.59,5.0,1.18,10.0,1.04,2.05,1.7
Brazil Serie B,2023-06-10,16:00:00,12,Vila Nova,Guarani,1.8,3.3,4.5,1.08,7.0,1.42,2.6,2.26,1.57,4.2,1.2,8.75,1.06,2.05,1.65
Brazil Serie D,2023-06-10,16:00:00,7,CAP,XV de Piracicaba,2.63,3.0,2.55,1.07,7.0,1.44,2.6,2.4,1.5,5.2,1.12,10.0,1.02,1.95,1.81
Brazil Serie D,2023-06-10,16:00:00,7,Cascavel CR,Ferroviária,2.47,2.7,3.16,1.11,5.6,1.57,2.25,2.76,1.34,5.6,1.11,13.0,1.03,2.32,1.58
9288,2023-06-10,16:00:00,6,Oriental,Uruguay Montevideo FC,2.19,3.22,3.21,0.0,0.0,0.0,0.0,2.16,1.68,0.0,0.0,0.0,0.0,0.0,0.0
Argentina Prim B Nacional,2023-06-10,16:35:00,20,Temperley,Defensores de Belgrano,2.09,3.2,3.8,1.06,6.45,1.53,2.38,2.4,1.44,4.74,1.14,9.4,1.01,2.16,1.65
Paraguay Division Profesional,2023-06-10,17:00:00,22,General Caballero JLM,Guaraní,2.67,3.1,2.38,0.0,0.0,0.0,0.0,1.8,2.0,0.0,0.0,0.0,0.0,0.0,0.0
Brazil Serie B,2023-06-10,17:00:00,12,Ituano,Atlético GO,2.5,3.1,2.8,1.08,7.25,1.4,2.7,2.18,1.61,4.0,1.21,8.0,1.07,1.9,1.78
Brazil Serie B,2023-06-10,17:00:00,12,Novorizontino,Sampaio Corrêa,1.65,3.4,5.5,1.08,7.0,1.43,2.6,2.32,1.54,4.33,1.19,8.75,1.06,2.25,1.57
Brazil Serie D,2023-06-10,17:00:00,7,Campinense,Potiguar Mossoró,1.64,3.5,5.1,1.03,9.0,1.32,3.1,1.98,1.73,3.4,1.27,8.0,1.05,2.0,1.77
Brazil Serie D,2023-06-10,17:00:00,7,Atlético Alagoinhas,Sergipe,2.65,2.8,2.75,1.08,6.6,1.46,2.55,2.35,1.46,4.5,1.16,10.0,1.02,2.08,1.71
Brazil Serie D,2023-06-10,17:00:00,7,Anápolis,Interporto,1.14,6.5,13.0,0.0,17.0,1.12,5.2,1.5,2.4,2.55,1.45,0.0,0.0,2.25,1.61
Brazil Serie D,2023-06-10,17:00:00,7,Inter de Limeira,Maringá,2.75,2.88,2.5,1.06,7.5,1.4,2.75,2.4,1.5,4.8,1.14,9.0,1.03,1.95,1.81
Peru Primera División,2023-06-10,17:30:00,19,Academia Cantolao,Deportivo Municipal,3.32,3.5,2.07,1.04,12.0,1.28,3.6,1.84,1.9,3.3,1.33,6.0,1.12,1.72,2.1
