League,Date,Time,Home,Away,FT_Odd_H,FT_Odd_D,FT_Odd_A
SWEDEN - ALLSVENSKAN,17/07/2023,14:00,Varberg,AIK,4.33,3.4,1.83
BRAZIL - SERIE A,17/07/2023,20:00,Goias,Atletico-MG,4.33,3.4,1.91
