League,N1,N2,N3
AUSTRIA - BUNDESLIGA,Under45,Under45,Over45
CHINA - SUPER LEAGUE,Under45,Under45,Under45
FINLAND - VEIKKAUSLIIGA,Under45,Under45,Under45
ICELAND - BESTA DEILD KARLA,Under45,Over45,Under45
INDONESIA - LIGA 1,Under45,Under45,Over45
MONTENEGRO - PRVA CRNOGORSKA LIGA,Under45,Under45,Under45
NORWAY - OBOS-LIGAEN,Under45,Under45,Under45
SOUTH AMERICA - COPA LIBERTADORES,Under45,Under45,Under45
SOUTH AMERICA - COPA SUDAMERICANA,Under45,Under45,Under45
USA - USL CHAMPIONSHIP,Under45,Over45,Under45
