League,Date,Time,Rodada,Home,Away,FT_Odd_H,FT_Odd_D,FT_Odd_A,FT_Odd_Over05,FT_Odd_Under05,FT_Odd_Over15,FT_Odd_Under15,FT_Odd_Over25,FT_Odd_Under25,FT_Odd_Over35,FT_Odd_Under35,FT_Odd_Over45,FT_Odd_Under45,FT_Odd_BTTS_Yes,FT_Odd_BTTS_No
Tunisia Ligue 1,2023-06-26,12:30:00,13,Olympique Béja,Monastir,5.4,3.3,1.72,1.12,6.25,1.6,2.2,2.63,1.35,5.55,1.11,9.7,1.02,2.45,1.52
Argentina Prim B Nacional,2023-06-26,15:30:00,22,Flandria,Gimnasia Mendoza,2.8,3.1,2.35,1.11,6.0,1.55,2.33,2.73,1.4,4.5,1.18,12.0,1.04,2.0,1.73
Republic of Ireland Premier Division,2023-06-26,15:45:00,25,Dundalk,St Patrick's Athl.,2.65,3.4,2.35,1.01,10.0,1.25,3.75,1.75,1.96,3.0,1.36,5.25,1.11,1.63,2.2
Republic of Ireland Premier Division,2023-06-26,16:00:00,25,Shamrock Rovers,Derry City,1.72,3.6,4.2,1.02,8.7,1.33,3.2,1.95,1.82,3.6,1.25,6.35,1.07,1.88,1.8
Peru Primera División,2023-06-26,17:30:00,1,Real Garcilaso,UTC Cajamarca,1.45,4.4,6.3,1.03,13.0,1.28,3.75,1.85,1.95,3.25,1.33,6.0,1.12,1.96,1.8
Argentina Primera División,2023-06-26,20:00:00,21,Belgrano,Banfield,2.35,2.8,3.0,1.1,7.0,1.5,2.45,2.47,1.46,5.0,1.16,10.0,1.04,2.05,1.7
Bolivia LFPB,2023-06-26,20:00:00,17,Independiente Petrolero,Guabirá,1.81,3.72,4.25,1.05,11.0,1.29,3.5,1.9,1.9,3.25,1.33,6.5,1.11,1.83,1.83
Brazil Serie C,2023-06-26,20:00:00,10,Operário PR,Aparecidense,1.66,3.4,5.48,0.0,0.0,1.5,2.45,2.41,1.44,0.0,0.0,0.0,0.0,0.0,0.0
Brazil Serie A,2023-06-26,21:00:00,12,Vasco da Gama,Cuiabá,2.05,3.4,3.6,1.08,8.7,1.42,2.89,2.4,1.53,4.25,1.23,8.6,1.07,2.1,1.67
Brazil Serie A,2023-06-26,21:00:00,12,Vasco da Gama,Cuiabá,2.05,3.4,3.6,1.08,8.7,1.42,2.89,2.4,1.53,4.25,1.23,8.6,1.07,2.1,1.67
