League,Date,Time,Rodada,Home,Away,FT_Odd_H,FT_Odd_D,FT_Odd_A,FT_Odd_Over05,FT_Odd_Under05,FT_Odd_Over15,FT_Odd_Under15,FT_Odd_Over25,FT_Odd_Under25,FT_Odd_Over35,FT_Odd_Under35,FT_Odd_Over45,FT_Odd_Under45,FT_Odd_BTTS_Yes,FT_Odd_BTTS_No
Japan J2 League,2023-06-04,02:00:00,19,Tokyo Verdy,Vegalta Sendai,2.55,3.2,2.83,1.05,7.5,1.32,3.1,2.25,1.6,3.5,1.25,7.5,1.05,1.83,1.83
Japan J2 League,2023-06-04,02:00:00,19,Oita Trinita,Ventforet Kofu,2.44,3.28,2.95,1.05,8.0,1.36,2.9,2.18,1.68,3.6,1.25,6.5,1.08,1.83,1.83
Japan J1 League,2023-06-04,02:00:00,16,Sanfrecce Hiroshima,Kyoto Sanga,1.4,4.0,7.5,1.05,9.0,1.29,3.5,1.8,1.91,3.0,1.36,5.5,1.12,2.1,1.67
South Korea K League 2,2023-06-04,04:00:00,16,Gimpo Citizen,Cheongju,1.7,3.5,4.2,1.05,8.0,1.36,2.9,2.1,1.67,3.6,1.25,6.5,1.08,2.0,1.73
South Korea K League 1,2023-06-04,04:30:00,16,Daejeon Citizen,Incheon United,2.46,3.4,2.8,1.05,9.0,1.28,3.5,1.95,1.85,3.3,1.3,5.5,1.12,1.7,2.1
China Chinese Super League,2023-06-04,04:30:00,11,Shijiazhuang Ever Bright,Shanghai Shenhua,3.58,3.48,2.05,1.03,8.4,1.31,3.08,2.05,1.77,3.48,1.25,6.6,1.06,1.84,1.9
Japan J1 League,2023-06-04,05:00:00,16,Urawa Reds,Kashima Antlers,2.49,3.14,3.01,1.08,7.0,1.44,2.55,2.4,1.53,4.4,1.18,9.25,1.05,2.05,1.7
South Korea K League 2,2023-06-04,06:30:00,16,Seoul E-Land,Busan I'Park,2.35,3.07,2.51,1.07,8.75,1.38,2.8,2.2,1.6,3.9,1.22,7.25,1.06,1.9,1.8
China Chinese Super League,2023-06-04,06:30:00,11,Nantong Zhiyun,Qingdao Jonoon,2.53,3.36,2.78,1.06,8.0,1.33,3.25,2.06,1.76,3.4,1.3,6.0,1.11,1.77,2.0
South Korea K League 1,2023-06-04,07:00:00,16,Daegu,FC Seoul,2.68,3.38,2.57,1.05,11.0,1.3,3.25,1.99,1.82,3.25,1.3,6.0,1.1,1.75,1.95
South Korea K League 2,2023-06-04,08:00:00,16,Jeonnam Dragons,Sangju Sangmu,3.22,3.44,2.13,1.04,13.0,1.25,3.6,1.9,1.9,2.9,1.35,5.25,1.13,1.7,2.05
Denmark 1st Division,2023-06-04,08:00:00,10,SønderjyskE,FC Helsingør,1.5,4.0,5.25,1.01,25.0,1.12,5.3,1.46,2.7,2.15,1.61,3.32,1.29,1.53,2.38
Denmark 1st Division,2023-06-04,08:00:00,10,Hvidovre,Næstved,1.7,3.7,4.0,1.01,13.0,1.14,5.0,1.48,2.65,2.2,1.6,3.4,1.3,1.5,2.5
