League,Date,Time,Home,Away,FT_Odd_H,FT_Odd_D,FT_Odd_A
ITALY - SERIE A,28/05/2023,07:30,Verona,Empoli,1.7,3.8,5.0
NETHERLANDS - EREDIVISIE,28/05/2023,09:30,Feyenoord,Vitesse,1.3,6.0,8.5
CROATIA - HNL,28/05/2023,12:00,Hajduk Split,Sibenik,1.25,5.25,8.5
SERBIA - SUPER LIGA,28/05/2023,12:00,Cukaricki,Radnicki 1923,1.37,4.6,8.1
SERBIA - SUPER LIGA,28/05/2023,12:00,TSC,Vojvodina,1.68,3.74,4.84
ENGLAND - PREMIER LEAGUE,28/05/2023,12:30,Arsenal,Wolves,1.36,5.25,8.0
ENGLAND - PREMIER LEAGUE,28/05/2023,12:30,Manchester Utd,Fulham,1.5,4.33,6.0
ITALY - SERIE A,28/05/2023,13:00,Lazio,Cremonese,1.22,6.5,12.0
SPAIN - LALIGA,28/05/2023,14:00,Ath Bilbao,Elche,1.3,5.0,11.0
CROATIA - HNL,28/05/2023,14:15,D. Zagreb,Gorica,1.25,5.25,11.0
BRAZIL - SERIE B,28/05/2023,18:00,Sport Recife,ABC,1.39,4.54,8.7
