League,Date,Time,Rodada,Home,Away,FT_Odd_H,FT_Odd_D,FT_Odd_A,FT_Odd_Over05,FT_Odd_Under05,FT_Odd_Over15,FT_Odd_Under15,FT_Odd_Over25,FT_Odd_Under25,FT_Odd_Over35,FT_Odd_Under35,FT_Odd_Over45,FT_Odd_Under45,FT_Odd_BTTS_Yes,FT_Odd_BTTS_No
Brazil Serie C,2023-06-20,15:00:00,9,CSA,Aparecidense,1.79,2.9,5.2,1.12,5.5,1.51,2.4,2.51,1.4,5.0,1.14,10.0,1.04,2.3,1.55
Brazil Serie D,2023-06-20,20:00:00,9,Campinense,Iguatu,1.47,3.54,5.84,1.05,9.75,1.3,3.2,2.05,1.7,3.45,1.26,7.0,1.09,2.05,1.68
Canada Canadian Premier League,2023-06-20,23:00:00,11,Vancouver FC,Forge FC,5.2,3.9,1.5,0.0,0.0,0.0,0.0,1.8,1.9,0.0,0.0,0.0,0.0,2.1,1.67
