League,Date,Time,Home,Away,FT_Odd_H,FT_Odd_D,FT_Odd_A
ENGLAND - CHAMPIONSHIP,08/05/2023,11:00,Luton,Hull,1.62,3.8,5.5
ENGLAND - PREMIER LEAGUE,08/05/2023,13:30,Brighton,Everton,1.4,5.0,7.5
NETHERLANDS - EERSTE DIVISIE,08/05/2023,15:00,Jong AZ,Oss,1.55,4.5,5.5
BRAZIL - SERIE B,08/05/2023,20:00,Atletico GO,Londrina,1.58,3.9,6.05
