League,N1,N2,N3
Argentina Prim B Nacional,D,H,H
Argentina Primera División,H,H,H
Australia A-League,H,A,A
Austria Bundesliga,D,H,D
Belgium Pro League,H,A,H
Bolivia LFPB,D,D,D
Brazil Serie A,H,A,A
Brazil Serie B,H,D,D
Brazil Serie C,D,H,D
Brazil Serie D,H,H,A
Bulgaria First League,A,D,H
Canada Canadian Premier League,A,A,D
Chile Primera B,D,H,D
Chile Primera División,D,A,D
Chile Segunda División,H,H,H
China Chinese Super League,H,D,H
Colombia Categoria Primera A,H,A,H
Colombia Categoria Primera B,D,D,A
Croatia Prva HNL,H,D,A
Czech Republic First League,H,A,A
Denmark 1st Division,H,H,A
Denmark Superliga,D,D,H
Ecuador Primera Categoría Serie A,A,H,H
Egypt Egyptian Premier League,D,H,D
England Championship,H,H,D
England EFL League One,H,A,D
England EFL League Two,H,D,A
England National League,D,A,D
England Premier League,D,A,D
Finland Veikkausliiga,H,A,D
France Ligue 1,A,A,H
France Ligue 2,A,D,H
Germany 2. Bundesliga,H,A,D
Germany Bundesliga,D,D,D
Greece Super League,D,D,H
Hungary NB I,A,H,H
Italy Serie A,H,D,D
Italy Serie B,H,A,D
Japan J1 League,A,D,D
Japan J2 League,D,D,H
Mexico Ascenso MX,D,H,H
Mexico Liga MX,H,A,A
Netherlands Eerste Divisie,D,D,A
Netherlands Eredivisie,H,H,D
Netherlands Tweede Divisie,A,H,H
Norway Eliteserien,D,H,D
Paraguay Division Profesional,A,A,H
Peru Primera División,D,A,H
Poland Ekstraklasa,D,A,D
Portugal Liga NOS,A,H,H
Portugal LigaPro,D,A,D
Republic of Ireland Premier Division,A,D,D
Romania Liga I,H,A,D
Scotland Premiership,H,H,A
Serbia SuperLiga,A,H,D
Slovakia Super Liga,H,A,H
Slovenia PrvaLiga,H,A,A
South Korea K League 1,A,D,H
South Korea K League 2,H,H,H
Spain La Liga,D,H,H
Spain Segunda División,D,H,H
Sweden Allsvenskan,D,A,D
Switzerland Super League,D,D,A
Tunisia Ligue 1,H,A,D
Turkey Süper Lig,H,A,H
USA MLS,A,D,H
USA USL Championship,H,D,H
Ukraine Ukrainian Premier League,A,A,H
Uruguay Primera División,H,D,H
Uruguay Segunda División,D,H,D
Venezuela Primera División,A,D,A
