League,Date,Time,Home,Away,FT_Odd_H,FT_Odd_D,FT_Odd_A
GERMANY - 2. BUNDESLIGA,20/05/2023,08:00,Heidenheim,Sandhausen,1.3,5.5,10.0
TURKEY - SUPER LIG,20/05/2023,10:00,Kasimpasa,Istanbulspor AS,1.75,3.6,3.75
SPAIN - LALIGA,20/05/2023,11:15,Ath Bilbao,Celta Vigo,1.6,3.8,5.5
ITALY - SERIE A,20/05/2023,13:00,Atalanta,Verona,1.57,4.2,5.75
SLOVAKIA - FORTUNA LIGA,20/05/2023,13:00,Trnava,Zilina,1.55,4.44,5.35
SPAIN - LALIGA,20/05/2023,13:30,Getafe,Elche,1.5,4.0,7.0
SPAIN - LALIGA2,20/05/2023,13:30,Eibar,Gijon,1.75,3.3,5.75
FRANCE - LIGUE 2,20/05/2023,14:00,St Etienne,Quevilly Rouen,1.65,3.8,5.0
BRAZIL - SERIE A,20/05/2023,18:30,Sao Paulo,Vasco,1.75,3.5,5.0
