League,N1,N2,N3
ARGENTINA - LIGA PROFESIONAL,Under25,Under25,Under25
ARGENTINA - PRIMERA NACIONAL,Under25,Over25,Under25
AUSTRALIA - A-LEAGUE,Over25,Under25,Under25
AUSTRIA - BUNDESLIGA,Over25,Under25,Under25
AZERBAIJAN - PREMIER LEAGUE,Under25,Over25,Under25
BANGLADESH - PREMIER LEAGUE,Over25,Over25,Over25
BELARUS - VYSSHAYA LIGA,Under25,Under25,Under25
BELGIUM - JUPILER PRO LEAGUE,Over25,Over25,Under25
BOLIVIA - DIVISION PROFESIONAL,Over25,Under25,Over25
BRAZIL - BRASILEIRO WOMEN,Under25,Over25,Under25
BRAZIL - SERIE A,Under25,Under25,Under25
BRAZIL - SERIE B,Under25,Under25,Under25
BULGARIA - PARVA LIGA,Over25,Under25,Under25
CANADA - CANADIAN PREMIER LEAGUE,Under25,Over25,Under25
CHILE - PRIMERA DIVISION,Over25,Over25,Over25
CHINA - SUPER LEAGUE,Over25,Under25,Under25
COLOMBIA - PRIMERA A,Over25,Under25,Under25
COSTA RICA - PRIMERA DIVISION,Under25,Under25,Over25
CROATIA - HNL,Under25,Under25,Over25
ECUADOR - LIGA PRO,Over25,Over25,Over25
ENGLAND - LEAGUE ONE,Under25,Under25,Over25
ESTONIA - MEISTRILIIGA,Under25,Under25,Under25
FINLAND - YKKONEN,Under25,Under25,Under25
GEORGIA - CRYSTALBET EROVNULI LIGA,Under25,Under25,Under25
GHANA - PREMIER LEAGUE,Under25,Under25,Over25
HONG KONG - PREMIER LEAGUE,Under25,Over25,Under25
INDONESIA - LIGA 1,Over25,Over25,Under25
ITALY - SERIE C,Under25,Under25,Under25
IVORY COAST - LIGUE 1,Under25,Under25,Under25
MEXICO - LIGA DE EXPANSION MX,Over25,Under25,Under25
MEXICO - LIGA MX,Under25,Over25,Under25
MOLDOVA - SUPER LIGA,Under25,Over25,Under25
MONGOLIA - PREMIER LEAGUE,Over25,Over25,Over25
MONTENEGRO - PRVA CRNOGORSKA LIGA,Under25,Over25,Over25
NETHERLANDS - EREDIVISIE,Over25,Over25,Over25
NETHERLANDS - TWEEDE DIVISIE,Over25,Over25,Under25
NICARAGUA - LIGA PRIMERA,Under25,Under25,Over25
NORTH MACEDONIA - 1. MFL,Under25,Under25,Under25
PANAMA - LPF,Over25,Under25,Under25
PARAGUAY - PRIMERA DIVISION,Under25,Over25,Under25
PERU - LIGA 1,Under25,Under25,Over25
PHILIPPINES - PFL,Over25,Under25,Over25
POLAND - DIVISION 1,Over25,Under25,Under25
POLAND - EKSTRAKLASA,Over25,Under25,Under25
PORTUGAL - LIGA PORTUGAL,Under25,Under25,Over25
PORTUGAL - LIGA PORTUGAL 2,Over25,Under25,Under25
REPUBLIC OF THE CONGO - LIGUE 1,Over25,Under25,Under25
ROMANIA - LIGA 1,Over25,Under25,Under25
RUSSIA - PREMIER LEAGUE,Over25,Under25,Over25
SAN MARINO - CAMPIONATO SAMMARINESE,Under25,Over25,Over25
SAUDI ARABIA - SAUDI PROFESSIONAL LEAGUE,Over25,Over25,Under25
SCOTLAND - CHAMPIONSHIP,Under25,Under25,Over25
SCOTLAND - LEAGUE TWO,Under25,Over25,Over25
SCOTLAND - PREMIERSHIP,Over25,Over25,Over25
SENEGAL - LIGUE 1,Under25,Under25,Under25
SERBIA - PRVA LIGA,Under25,Under25,Over25
SERBIA - SUPER LIGA,Under25,Under25,Over25
SINGAPORE - PREMIER LEAGUE,Under25,Over25,Over25
SLOVAKIA - NIKE LIGA,Under25,Under25,Under25
SLOVENIA - PRVA LIGA,Under25,Under25,Over25
SOUTH KOREA - K LEAGUE 1,Over25,Under25,Under25
SOUTH KOREA - K LEAGUE 2,Under25,Over25,Over25
SPAIN - LALIGA2,Over25,Over25,Over25
SPAIN - PRIMERA RFEF,Under25,Over25,Under25
SPAIN - SEGUNDA RFEF,Over25,Over25,Under25
SWEDEN - SUPERETTAN,Over25,Over25,Over25
SWITZERLAND - SUPER LEAGUE,Under25,Under25,Under25
THAILAND - THAI LEAGUE 1,Over25,Over25,Over25
URUGUAY - PRIMERA DIVISION,Under25,Over25,Over25
USA - MLS,Under25,Over25,Over25
USA - USL CHAMPIONSHIP,Under25,Over25,Over25
UZBEKISTAN - SUPER LEAGUE,Over25,Under25,Under25
VENEZUELA - LIGA FUTVE,Under25,Under25,Under25
VIETNAM - V.LEAGUE 1,Under25,Over25,Under25
