League,Date,Time,Home,Away,FT_Odd_H,FT_Odd_D,FT_Odd_A
GERMANY - BUNDESLIGA,06/05/2023,10:30,Freiburg,RB Leipzig,4.0,3.75,1.85
TURKEY - SUPER LIG,06/05/2023,13:00,Antalyaspor,Besiktas,3.6,3.4,2.0
FRANCE - LIGUE 2,06/05/2023,14:00,Niort,Metz,5.75,3.8,1.55
