League,Date,Time,Rodada,Home,Away,FT_Odd_H,FT_Odd_D,FT_Odd_A,FT_Odd_Over05,FT_Odd_Under05,FT_Odd_Over15,FT_Odd_Under15,FT_Odd_Over25,FT_Odd_Under25,FT_Odd_Over35,FT_Odd_Under35,FT_Odd_Over45,FT_Odd_Under45,FT_Odd_BTTS_Yes,FT_Odd_BTTS_No
South Korea K League 2,2023-05-29,04:00:00,15,Bucheon 1995,Gimpo Citizen,2.3,3.02,2.62,1.06,7.5,1.36,2.9,2.15,1.7,3.6,1.25,6.5,1.08,1.83,1.83
South Korea K League 1,2023-05-29,04:30:00,15,Pohang Steelers,Jeonbuk Motors,2.21,3.28,2.87,1.07,7.5,1.33,3.1,1.95,1.76,3.75,1.25,7.0,1.08,1.83,1.83
China Chinese Super League,2023-05-29,08:35:00,10,Changchun Yatai,Shanghai SIPG,4.35,3.5,1.6,1.04,13.75,1.26,3.9,2.06,1.68,2.99,1.4,5.6,1.15,1.88,1.82
Ukraine Ukrainian Premier League,2023-05-29,09:00:00,29,Metalist 1925 Kharkiv,Hirnyk,2.98,3.38,2.37,1.02,8.6,1.33,3.1,1.95,1.75,3.75,1.25,6.45,1.07,1.81,1.95
Ukraine Ukrainian Premier League,2023-05-29,09:00:00,29,Chornomorets,Rukh Vynnyky,2.55,3.2,2.85,1.07,6.8,1.4,2.8,2.15,1.7,4.2,1.22,6.5,1.07,1.9,1.83
Ukraine Ukrainian Premier League,2023-05-29,09:00:00,29,Lviv,Inhulets,3.5,3.28,2.16,1.04,7.7,1.38,2.9,2.15,1.7,4.2,1.22,7.5,1.04,2.15,1.67
Ukraine Ukrainian Premier League,2023-05-29,09:00:00,29,Vorskla,Kolos Kovalivka,1.82,3.52,4.52,1.06,9.25,1.35,2.95,2.23,1.58,3.6,1.24,6.75,1.07,1.96,1.8
Ukraine Ukrainian Premier League,2023-05-29,09:00:00,29,Metal Kharkiv,Minai,2.85,3.05,2.65,1.07,8.5,1.38,2.8,2.07,1.67,3.9,1.22,7.25,1.06,1.9,1.82
Ukraine Ukrainian Premier League,2023-05-29,09:00:00,29,Dynamo Kyiv,Veres Rivne,1.36,5.05,8.3,0.0,0.0,0.0,0.0,1.57,2.25,0.0,0.0,0.0,0.0,0.0,0.0
Denmark Superliga,2023-05-29,09:00:00,9,Silkeborg,Midtjylland,3.15,3.35,1.95,1.02,14.5,1.22,4.3,1.6,2.2,2.65,1.47,4.95,1.17,1.62,2.2
