League,Date,Time,Rodada,Home,Away,FT_Odd_H,FT_Odd_D,FT_Odd_A,FT_Odd_Over05,FT_Odd_Under05,FT_Odd_Over15,FT_Odd_Under15,FT_Odd_Over25,FT_Odd_Under25,FT_Odd_Over35,FT_Odd_Under35,FT_Odd_Over45,FT_Odd_Under45,FT_Odd_BTTS_Yes,FT_Odd_BTTS_No
Colombia Categoria Primera B,2023-07-20,18:00:00,1,Orsomarso,Cúcuta Deportivo,3.46,2.65,2.26,1.08,8.15,1.41,2.69,2.3,1.57,4.1,1.2,7.6,1.05,2.0,1.77
Colombia Categoria Primera B,2023-07-20,21:00:00,1,Tigres,Fortaleza CEIF,7.56,7.48,1.18,1.11,6.6,1.53,2.35,2.7,1.42,5.0,1.14,9.1,1.0,2.2,1.6
Colombia Categoria Primera B,2023-07-20,21:00:00,1,Tigres,Fortaleza CEIF,7.56,7.48,1.18,1.11,6.6,1.53,2.35,2.7,1.42,5.0,1.14,9.1,1.0,2.2,1.6
