League,Date,Time,Home,Away,FT_Odd_H,FT_Odd_D,FT_Odd_A
NETHERLANDS - EREDIVISIE,26/05/2023,15:00,Almere City,Eindhoven FC,1.73,4.1,4.2
ARGENTINA - LIGA PROFESIONAL,26/05/2023,21:30,Atl. Tucuman,Arsenal Sarandi,1.67,3.8,5.0
