League,Date,Time,Home,Away,FT_Odd_H,FT_Odd_D,FT_Odd_A
SPAIN - LALIGA,25/04/2023,14:30,Girona,Real Madrid,5.25,4.2,1.57
SWITZERLAND - SUPER LEAGUE,25/04/2023,15:30,Grasshoppers,Young Boys,5.5,4.5,1.53
