League,N1,N2,N3
Argentina Prim B Nacional,Under25,Under25,Under25
Argentina Primera División,Over25,Under25,Over25
Australia A-League,Over25,Over25,Over25
Austria Bundesliga,Under25,Over25,Under25
Belgium Pro League,Under25,Over25,Over25
Bolivia LFPB,Over25,Over25,Under25
Brazil Serie A,Under25,Over25,Under25
Brazil Serie B,Under25,Over25,Under25
Brazil Serie C,Under25,Under25,Over25
Brazil Serie D,Under25,Under25,Over25
Bulgaria First League,Under25,Under25,Under25
Canada Canadian Premier League,Under25,Under25,Under25
Chile Primera B,Over25,Over25,Over25
Chile Primera División,Under25,Over25,Over25
Chile Segunda División,Under25,Over25,Under25
China Chinese Super League,Under25,Over25,Over25
Colombia Categoria Primera A,Under25,Under25,Over25
Colombia Categoria Primera B,Under25,Under25,Over25
Croatia Prva HNL,Over25,Under25,Over25
Czech Republic First League,Over25,Over25,Over25
Denmark 1st Division,Under25,Over25,Under25
Denmark Superliga,Over25,Under25,Under25
Ecuador Primera Categoría Serie A,Under25,Under25,Under25
Egypt Egyptian Premier League,Over25,Over25,Under25
England Championship,Under25,Under25,Under25
England EFL League One,Over25,Under25,Over25
England EFL League Two,Over25,Over25,Under25
England National League,Over25,Under25,Over25
England Premier League,Over25,Over25,Under25
Finland Veikkausliiga,Under25,Under25,Over25
France Ligue 1,Under25,Under25,Under25
France Ligue 2,Under25,Over25,Over25
Germany 2. Bundesliga,Over25,Over25,Under25
Germany Bundesliga,Under25,Under25,Under25
Greece Super League,Over25,Over25,Under25
Hungary NB I,Under25,Under25,Over25
Italy Serie A,Over25,Over25,Over25
Italy Serie B,Over25,Under25,Under25
Japan J1 League,Under25,Over25,Over25
Japan J2 League,Under25,Under25,Under25
Mexico Ascenso MX,Over25,Under25,Over25
Mexico Liga MX,Over25,Under25,Under25
Netherlands Eerste Divisie,Over25,Under25,Under25
Netherlands Eredivisie,Over25,Over25,Under25
Netherlands Tweede Divisie,Under25,Over25,Over25
Norway Eliteserien,Over25,Over25,Under25
Paraguay Division Profesional,Over25,Under25,Under25
Peru Primera División,Under25,Under25,Under25
Poland Ekstraklasa,Under25,Over25,Under25
Portugal Liga NOS,Over25,Over25,Over25
Portugal LigaPro,Over25,Over25,Under25
Republic of Ireland Premier Division,Under25,Over25,Under25
Romania Liga I,Over25,Under25,Over25
Scotland Premiership,Under25,Over25,Over25
Serbia SuperLiga,Under25,Over25,Over25
Slovakia Super Liga,Under25,Over25,Under25
Slovenia PrvaLiga,Over25,Over25,Under25
South Korea K League 1,Over25,Over25,Over25
South Korea K League 2,Under25,Over25,Over25
Spain La Liga,Over25,Under25,Under25
Spain Segunda División,Under25,Under25,Under25
Sweden Allsvenskan,Under25,Under25,Over25
Switzerland Super League,Under25,Over25,Over25
Tunisia Ligue 1,Under25,Under25,Over25
Turkey Süper Lig,Under25,Over25,Under25
USA MLS,Under25,Over25,Over25
USA USL Championship,Over25,Over25,Over25
Ukraine Ukrainian Premier League,Under25,Over25,Over25
Uruguay Primera División,Under25,Over25,Under25
Uruguay Segunda División,Over25,Under25,Over25
Venezuela Primera División,Over25,Under25,Over25
