League,Date,Time,Rodada,Home,Away,FT_Odd_H,FT_Odd_D,FT_Odd_A,FT_Odd_Over05,FT_Odd_Under05,FT_Odd_Over15,FT_Odd_Under15,FT_Odd_Over25,FT_Odd_Under25,FT_Odd_Over35,FT_Odd_Under35,FT_Odd_Over45,FT_Odd_Under45,FT_Odd_BTTS_Yes,FT_Odd_BTTS_No
Chile Primera B,2023-06-15,16:00:00,16,Barnechea,Santiago Morning,3.85,1.41,7.04,1.05,9.0,1.29,3.5,1.82,1.9,3.0,1.36,5.5,1.13,1.65,2.18
Brazil Serie D,2023-06-15,19:00:00,8,Iguatu,Sousa,2.4,2.9,2.8,1.05,8.0,1.38,2.8,2.2,1.65,3.9,1.22,8.0,1.05,1.83,1.93
Brazil Serie D,2023-06-15,19:00:00,8,Jacuipense,Falcon,1.65,3.5,5.0,0.0,0.0,0.0,0.0,2.0,1.8,0.0,0.0,0.0,0.0,0.0,0.0
