League,Date,Time,Home,Away,FT_Odd_H,FT_Odd_D,FT_Odd_A
ITALY - SERIE A,03/05/2023,13:00,Atalanta,Spezia,1.4,5.0,7.0
ITALY - SERIE A,03/05/2023,13:00,Juventus,Lecce,1.6,3.8,6.0
NORWAY - ELITESERIEN,03/05/2023,13:00,Bodo/Glimt,Odd,1.25,6.5,10.0
ENGLAND - PREMIER LEAGUE,03/05/2023,16:00,Liverpool,Fulham,1.25,6.0,11.0
ENGLAND - PREMIER LEAGUE,03/05/2023,16:00,Manchester City,West Ham,1.22,7.0,12.0
ITALY - SERIE A,03/05/2023,16:00,AC Milan,Cremonese,1.33,5.0,9.5
ITALY - SERIE A,03/05/2023,16:00,Lazio,Sassuolo,1.67,4.0,5.0
