League,Date,Time,Home,Away,FT_Odd_H,FT_Odd_D,FT_Odd_A
AUSTRIA - BUNDESLIGA,08/06/2023,12:00,A. Lustenau,Austria Vienna,3.6,3.75,1.95
NETHERLANDS - EREDIVISIE,08/06/2023,15:00,Sparta Rotterdam,Twente,4.0,3.8,1.85
