League,Date,Time,Home,Away,FT_Odd_H,FT_Odd_D,FT_Odd_A
GERMANY - 2. BUNDESLIGA,13/05/2023,08:00,Greuther Furth,Braunschweig,1.75,3.8,4.33
SPAIN - LALIGA,13/05/2023,09:00,Real Sociedad,Girona,1.62,4.0,5.5
SWEDEN - ALLSVENSKAN,13/05/2023,10:00,Hacken,Degerfors,1.22,7.0,11.0
ENGLAND - PREMIER LEAGUE,13/05/2023,11:00,Manchester Utd,Wolves,1.4,4.75,7.0
SLOVAKIA - FORTUNA LIGA,13/05/2023,11:30,Skalica,L. Mikulas,1.44,4.54,7.0
CROATIA - HNL,13/05/2023,12:00,Hajduk Split,Osijek,1.7,3.4,4.75
SERBIA - SUPER LIGA,13/05/2023,15:30,TSC,FK Vozdovac,1.2,6.3,13.5
SWITZERLAND - SUPER LEAGUE,13/05/2023,15:30,Servette,Sion,1.4,5.0,6.5
ITALY - SERIE A,13/05/2023,15:45,Inter,Sassuolo,1.4,5.0,7.0
NETHERLANDS - EREDIVISIE,13/05/2023,16:00,Utrecht,Waalwijk,1.62,4.5,4.5
ARGENTINA - LIGA PROFESIONAL,13/05/2023,20:30,Newells Old Boys,Arsenal Sarandi,1.67,3.75,5.0
MEXICO - LIGA MX,13/05/2023,22:06,Monterrey,Santos Laguna,1.57,4.5,5.25
