League,Date,Time,Rodada,Home,Away,FT_Odd_H,FT_Odd_D,FT_Odd_A,FT_Odd_Over05,FT_Odd_Under05,FT_Odd_Over15,FT_Odd_Under15,FT_Odd_Over25,FT_Odd_Under25,FT_Odd_Over35,FT_Odd_Under35,FT_Odd_Over45,FT_Odd_Under45,FT_Odd_BTTS_Yes,FT_Odd_BTTS_No
Brazil Serie D,2023-06-14,15:00:00,8,Caucaia,Parnahyba,2.2,3.1,3.0,0.0,0.0,0.0,0.0,2.02,1.73,0.0,0.0,0.0,0.0,0.0,0.0
Brazil Serie D,2023-06-14,15:00:00,8,Nova Iguaçu,Vitória Futebol Clube (ES),2.2,3.1,3.31,1.04,7.25,1.48,2.4,2.23,1.55,4.4,1.16,9.75,1.01,2.02,1.75
Brazil Serie D,2023-06-14,15:30:00,8,Fluminense PI,Uniclinic,2.25,3.0,3.0,1.06,7.5,1.41,2.7,2.2,1.65,4.1,1.19,9.0,1.03,1.84,1.92
Brazil Serie D,2023-06-14,15:30:00,8,Ceilândia,CEOV Operário,1.65,3.4,5.0,1.05,9.5,1.33,2.91,2.17,1.67,3.65,1.22,7.0,1.06,2.05,1.73
Brazil Serie D,2023-06-14,15:30:00,8,Iporá,Brasiliense,2.4,3.14,2.9,1.05,7.5,1.41,2.7,2.19,1.57,4.2,1.19,9.0,1.03,1.87,1.89
Brazil Serie D,2023-06-14,16:00:00,8,União Rondonópolis,Real Ariquemes,1.16,6.45,15.0,1.03,9.0,1.35,2.9,2.2,1.61,3.7,1.23,9.0,1.03,2.79,1.42
Brazil Serie D,2023-06-14,16:00:00,8,Interporto,Anápolis,14.0,7.0,1.11,1.02,17.0,1.16,4.6,1.45,2.55,2.37,1.52,4.1,1.19,1.71,2.08
Argentina Prim B Nacional,2023-06-14,17:10:00,10,Patronato,Almirante Brown,2.02,3.26,3.95,1.09,6.0,1.48,2.5,2.48,1.5,4.33,1.18,9.0,1.05,2.1,1.65
Brazil Serie D,2023-06-14,18:00:00,8,Cordino,Tocantinópolis,2.32,3.13,3.05,1.05,8.0,1.39,2.8,2.14,1.6,4.0,1.21,8.0,1.05,1.9,1.86
Brazil Serie D,2023-06-14,19:00:00,8,Bahia de Feira,Cruzeiro Arapiraca,1.63,3.7,5.12,0.0,0.0,1.31,3.04,1.98,1.7,3.42,1.25,0.0,0.0,1.95,1.72
Brazil Serie D,2023-06-14,19:00:00,8,Noroeste,Santo André,3.0,3.2,2.15,1.04,7.0,1.39,2.55,2.35,1.57,4.15,1.15,7.75,1.01,1.98,1.79
Brazil Serie D,2023-06-14,19:00:00,8,Athletic Club,Resende,2.2,3.0,3.25,0.0,0.0,0.0,0.0,2.03,1.77,0.0,0.0,0.0,0.0,0.0,0.0
Brazil Serie D,2023-06-14,19:00:00,8,Ferroviária,Cascavel CR,1.88,3.16,4.32,1.07,6.35,1.52,2.49,2.68,1.39,4.8,1.13,11.0,1.04,2.23,1.55
Brazil Serie D,2023-06-14,19:00:00,8,Aimoré,Concórdia AC,2.27,3.0,3.27,0.0,0.0,0.0,0.0,2.72,1.38,0.0,0.0,0.0,0.0,0.0,0.0
Brazil Serie D,2023-06-14,19:00:00,8,Camboriú,Caxias,2.97,2.94,2.48,1.07,6.15,1.54,2.44,2.54,1.43,5.0,1.12,9.0,1.01,2.09,1.71
Brazil Serie D,2023-06-14,19:00:00,8,Hercílio Luz,Brasil de Pelotas,1.92,3.16,4.12,1.07,6.35,1.52,2.49,2.64,1.4,4.8,1.13,0.0,0.0,2.14,1.6
Colombia Categoria Primera B,2023-06-14,19:00:00,0,Patriotas Boyacá,Llaneros,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
USA USL Championship,2023-06-14,20:00:00,0,Hartford Athletic,Detroit City FC,2.35,3.4,2.8,1.04,13.0,1.24,3.63,1.83,1.9,2.88,1.36,5.2,1.13,1.65,2.1
Brazil Serie D,2023-06-14,20:00:00,8,Águia de Marabá,Trem,1.23,5.6,11.2,1.02,14.0,1.21,3.74,1.85,1.95,2.75,1.37,4.9,1.1,2.23,1.55
Brazil Serie D,2023-06-14,20:00:00,8,São Raimundo RR,Humaitá,1.34,5.0,7.55,0.0,0.0,0.0,0.0,1.5,2.35,2.35,1.58,3.74,1.21,1.76,1.91
Brazil Serie D,2023-06-14,20:00:00,8,São Francisco,Nacional AM,7.7,4.15,1.41,0.0,0.0,0.0,0.0,2.05,1.65,2.31,1.5,0.0,0.0,1.94,1.73
Brazil Serie D,2023-06-14,20:00:00,8,Princesa Solimões,Tuna Luso,1.71,3.62,4.6,1.04,10.75,1.28,3.3,1.9,1.77,3.3,1.28,6.5,1.1,1.8,1.86
Brazil Serie D,2023-06-14,20:00:00,8,Ferroviário,Maranhão,1.66,3.62,4.99,1.01,8.75,1.27,3.05,2.1,1.62,3.45,1.22,6.25,1.05,1.98,1.79
Brazil Serie D,2023-06-14,20:00:00,8,Nacional de Patos,Pacajus,2.32,3.16,3.01,0.0,0.0,1.36,2.78,2.14,1.6,3.92,1.19,0.0,0.0,1.86,1.8
Brazil Serie D,2023-06-14,20:00:00,8,Santa Cruz,Globo,1.11,7.7,20.0,0.0,0.0,0.0,0.0,1.57,2.19,2.3,1.6,3.74,1.21,2.54,1.43
Brazil Serie D,2023-06-14,20:00:00,8,Potiguar Mossoró,Campinense,2.89,3.16,2.4,0.0,0.0,1.36,2.79,2.1,1.62,3.88,1.2,0.0,0.0,1.85,1.81
Brazil Serie D,2023-06-14,20:00:00,8,ASA,Retrô,2.76,3.16,2.45,0.0,0.0,1.36,2.79,2.09,1.63,3.84,1.2,0.0,0.0,1.84,1.82
Brazil Serie D,2023-06-14,20:00:00,8,Sergipe,Atlético Alagoinhas,1.51,3.9,6.24,0.0,0.0,1.32,2.98,2.02,1.67,3.48,1.24,0.0,0.0,2.09,1.63
Brazil Serie D,2023-06-14,20:00:00,8,Portuguesa RJ,Democrata GV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Brazil Serie D,2023-06-14,20:00:00,8,XV de Piracicaba,CAP,2.5,2.88,2.75,1.07,7.0,1.45,2.55,2.35,1.46,5.5,1.11,11.0,1.01,2.2,1.64
Brazil Serie D,2023-06-14,20:00:00,8,Operário MT,CRAC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Brazil Serie D,2023-06-14,20:00:00,8,Maringá,Inter de Limeira,2.02,2.88,3.89,1.06,7.5,1.4,2.75,2.22,1.52,4.8,1.14,9.0,1.03,1.95,1.81
Brazil Serie D,2023-06-14,20:00:00,8,Novo Hamburgo,Independiente FSJ,3.33,3.05,2.22,1.06,6.25,1.43,2.45,2.32,1.51,4.5,1.12,8.5,1.01,2.07,1.72
USA USL Championship,2023-06-14,22:00:00,0,El Paso Locomotive,Las Vegas Lights,1.3,5.0,8.5,1.03,11.0,1.18,4.5,1.62,2.2,2.6,1.45,4.33,1.2,1.95,1.8
USA USL Championship,2023-06-14,23:00:00,0,San Diego Loyal,San Antonio,2.1,3.6,3.1,1.05,9.0,1.25,3.6,1.83,1.9,3.0,1.35,5.5,1.12,1.68,2.1
USA MLS,2023-06-14,23:30:00,0,Los Angeles FC,Houston Dynamo,1.33,4.75,8.0,1.03,13.0,1.22,4.2,1.61,2.1,2.3,1.54,5.5,1.15,1.8,1.95
