League,Date,Time,Home,Away,FT_Odd_H,FT_Odd_D,FT_Odd_A
SWEDEN - ALLSVENSKAN,10/06/2023,10:00,Kalmar,Degerfors,1.62,3.8,5.5
USA - MLS,10/06/2023,20:30,New England Revolution,Inter Miami,1.5,4.33,6.5
ARGENTINA - LIGA PROFESIONAL,10/06/2023,21:30,Talleres Cordoba,Arsenal Sarandi,1.36,4.5,11.0
