League,Date,Time,Home,Away,FT_Odd_H,FT_Odd_D,FT_Odd_A
SWEDEN - ALLSVENSKAN,07/05/2023,10:00,Malmo FF,AIK,1.5,4.33,7.0
ITALY - SERIE B,07/05/2023,11:15,Parma,Brescia,1.7,3.4,5.5
AUSTRIA - BUNDESLIGA,07/05/2023,12:00,Salzburg,Rapid Vienna,1.5,4.33,6.5
FRANCE - LIGUE 1,07/05/2023,12:05,Lyon,Montpellier,1.62,4.33,5.0
SERBIA - SUPER LIGA,07/05/2023,14:30,Javor,Kolubara,1.54,3.96,5.9
USA - MLS,07/05/2023,17:30,Seattle Sounders,Sporting Kansas City,1.65,4.0,5.0
MEXICO - LIGA MX,07/05/2023,22:06,Club Leon,Atl. San Luis,1.53,4.2,6.25
