League,Date,Time,Rodada,Home,Away,FT_Odd_H,FT_Odd_D,FT_Odd_A,FT_Odd_Over05,FT_Odd_Under05,FT_Odd_Over15,FT_Odd_Under15,FT_Odd_Over25,FT_Odd_Under25,FT_Odd_Over35,FT_Odd_Under35,FT_Odd_Over45,FT_Odd_Under45,FT_Odd_BTTS_Yes,FT_Odd_BTTS_No
Mexico Ascenso MX,2023-05-04,00:05:00,0,Tlaxcala,Tapatío,2.24,3.18,3.4,1.05,8.25,1.34,2.8,2.0,1.61,3.65,1.22,7.75,1.06,1.81,1.95
Ukraine Ukrainian Premier League,2023-05-04,07:00:00,24,Metalist 1925 Kharkiv,Rukh Vynnyky,2.51,3.2,2.45,1.07,9.25,1.35,2.95,2.1,1.65,3.7,1.24,6.75,1.07,1.87,1.89
Ukraine Ukrainian Premier League,2023-05-04,07:00:00,24,Inhulets,Hirnyk,2.35,3.1,2.7,1.08,7.0,1.36,3.0,2.1,1.65,3.75,1.25,7.0,1.08,1.99,1.78
Ukraine Ukrainian Premier League,2023-05-04,09:00:00,24,Vorskla,Dynamo Kyiv,3.7,3.45,1.78,1.03,11.0,1.2,4.33,1.88,1.92,2.5,1.5,4.33,1.2,1.83,1.93
Bulgaria First League,2023-05-04,09:45:00,29,OFK Pirin,Botev Plovdiv,2.99,3.15,2.13,1.05,8.0,1.3,3.2,2.15,1.62,3.3,1.29,6.0,1.09,1.91,1.85
Bulgaria First League,2023-05-04,12:00:00,29,Hebar 1918,CSKA Sofia,9.5,4.75,1.24,1.04,10.0,1.25,3.75,2.01,1.79,3.0,1.36,5.0,1.14,2.11,1.69
Tunisia Ligue 1,2023-05-04,12:00:00,5,Ben Guerdane,Monastir,2.5,2.63,3.0,1.12,5.5,1.7,2.15,3.1,1.36,6.5,1.1,16.0,1.02,2.35,1.52
Slovenia PrvaLiga,2023-05-04,12:30:00,34,Bravo,Tabor Sežana,1.97,3.3,3.25,1.05,11.25,1.29,3.3,2.1,1.7,3.18,1.31,5.8,1.1,1.78,1.95
Egypt Egyptian Premier League,2023-05-04,13:00:00,27,Haras El Hodood,El Geish,3.35,2.96,2.16,1.09,5.8,1.57,2.3,2.75,1.4,5.4,1.1,10.0,1.03,2.27,1.56
Egypt Egyptian Premier League,2023-05-04,13:00:00,27,Al Mokawloon,National Bank of Egypt,2.1,2.55,4.33,1.12,5.1,1.53,2.4,2.9,1.36,5.4,1.15,11.0,1.02,2.25,1.57
Sweden Allsvenskan,2023-05-04,14:00:00,6,IFK Göteborg,Degerfors,2.0,3.6,3.3,1.05,11.0,1.3,3.6,1.86,2.0,3.4,1.33,6.5,1.12,1.68,2.0
Sweden Allsvenskan,2023-05-04,14:00:00,6,Norrköping,Hammarby,2.71,3.6,2.31,1.04,13.0,1.28,3.75,1.75,1.95,3.1,1.38,6.0,1.14,1.58,2.2
Sweden Allsvenskan,2023-05-04,14:00:00,6,Värnamo,Brommapojkarna,1.95,3.45,3.5,1.05,12.0,1.3,3.6,1.85,1.85,3.4,1.33,6.5,1.12,1.77,1.93
Sweden Allsvenskan,2023-05-04,14:00:00,6,Varberg,Malmö FF,6.7,4.6,1.4,1.03,13.0,1.25,4.0,1.75,1.95,3.0,1.4,5.5,1.15,1.83,1.85
Spain La Liga,2023-05-04,14:30:00,33,Girona FC,RCD Mallorca,2.3,3.25,3.25,1.09,7.0,1.44,2.6,2.4,1.55,4.33,1.19,9.0,1.06,2.05,1.68
Spain La Liga,2023-05-04,14:30:00,33,Sevilla FC,RCD Espanyol,1.76,3.8,4.55,1.06,8.5,1.34,3.0,2.1,1.7,3.5,1.27,7.0,1.09,1.88,1.8
Bulgaria First League,2023-05-04,14:30:00,29,Levski Sofia,Septemvri Sofia,1.2,5.0,11.0,1.02,14.0,1.19,3.95,1.97,1.83,2.6,1.38,4.75,1.14,2.35,1.47
Slovenia PrvaLiga,2023-05-04,15:15:00,34,Koper,Domžale,1.97,3.35,3.2,1.01,12.75,1.24,3.7,1.92,1.88,2.83,1.38,5.1,1.13,1.72,2.0
Egypt Egyptian Premier League,2023-05-04,15:30:00,27,Coca-Cola,Pharco,1.72,3.3,4.65,1.1,7.0,1.51,2.45,2.4,1.5,5.0,1.16,12.0,1.04,2.3,1.55
England Championship,2023-05-04,15:45:00,44,Huddersfield Town,Sheffield United,2.74,3.45,2.36,1.06,8.75,1.31,3.2,2.03,1.83,3.25,1.29,6.25,1.1,1.75,1.93
Italy Serie A,2023-05-04,15:45:00,33,Empoli,Bologna,3.05,3.3,2.45,1.08,9.1,1.38,3.05,2.25,1.62,3.95,1.25,7.95,1.08,1.91,1.91
Italy Serie A,2023-05-04,15:45:00,33,Udinese,Napoli,3.95,3.95,1.87,1.01,10.0,1.27,3.62,1.83,1.95,3.04,1.36,5.55,1.1,1.76,2.01
England Premier League,2023-05-04,16:00:00,28,Brighton & Hove Albion,Manchester United,2.0,3.6,3.5,0.0,0.0,0.0,0.0,1.57,2.25,2.3,1.57,0.0,0.0,1.53,2.38
