League,Date,Time,Rodada,Home,Away,FT_Odd_H,FT_Odd_D,FT_Odd_A,FT_Odd_Over05,FT_Odd_Under05,FT_Odd_Over15,FT_Odd_Under15,FT_Odd_Over25,FT_Odd_Under25,FT_Odd_Over35,FT_Odd_Under35,FT_Odd_Over45,FT_Odd_Under45,FT_Odd_BTTS_Yes,FT_Odd_BTTS_No
Ukraine Ukrainian Premier League,2023-05-24,07:00:00,28,Dnipro-1,Vorskla,1.36,5.15,7.7,1.02,18.0,1.19,3.96,1.53,2.25,2.27,1.56,4.7,1.14,1.87,1.89
Ukraine Ukrainian Premier League,2023-05-24,07:00:00,28,Kolos Kovalivka,Dynamo Kyiv,6.2,3.82,1.57,1.03,14.0,1.22,3.9,1.83,1.83,2.75,1.4,4.8,1.15,1.75,1.95
China Chinese Super League,2023-05-24,08:35:00,9,Shandong Luneng,Shenzhen,1.18,6.0,17.0,1.04,15.25,1.24,4.08,1.61,2.05,2.86,1.43,5.25,1.16,2.65,1.42
China Chinese Super League,2023-05-24,08:35:00,9,Shanghai SIPG,Henan Jianye,1.19,5.28,12.61,1.04,13.5,1.27,3.77,1.77,1.93,3.1,1.37,5.85,1.14,2.84,1.41
China Chinese Super League,2023-05-24,08:35:00,9,Meizhou Hakka,Tianjin Teda,2.2,3.0,3.1,1.03,8.2,1.32,3.04,2.1,1.61,3.54,1.24,6.8,1.06,1.91,1.87
China Chinese Super League,2023-05-24,08:35:00,9,Dalian Yifang,Hangzhou,2.63,3.3,2.63,1.08,8.65,1.42,2.91,2.28,1.64,4.2,1.23,8.5,1.07,1.98,1.81
Ukraine Ukrainian Premier League,2023-05-24,09:00:00,28,Veres Rivne,Oleksandria,2.9,3.25,2.2,0.0,0.0,0.0,0.0,1.75,1.91,0.0,0.0,0.0,0.0,0.0,0.0
Ukraine Ukrainian Premier League,2023-05-24,11:00:00,28,Zorya,Shakhtar Donetsk,3.9,3.5,1.8,1.03,15.0,1.22,3.9,1.7,1.95,2.75,1.4,4.9,1.14,1.68,2.11
Sweden Allsvenskan,2023-05-24,14:00:00,18,Djurgården,Häcken,2.35,3.4,2.62,1.03,15.0,1.19,4.6,1.57,2.15,2.65,1.48,4.8,1.18,1.52,2.48
Czech Republic First League,2023-05-24,14:00:00,4,Pardubice,Jablonec,2.3,3.3,2.7,1.01,12.5,1.22,4.0,1.67,2.05,2.8,1.42,4.9,1.16,1.57,2.3
