League,Date,Time,Rodada,Home,Away,FT_Odd_H,FT_Odd_D,FT_Odd_A,FT_Odd_Over05,FT_Odd_Under05,FT_Odd_Over15,FT_Odd_Under15,FT_Odd_Over25,FT_Odd_Under25,FT_Odd_Over35,FT_Odd_Under35,FT_Odd_Over45,FT_Odd_Under45,FT_Odd_BTTS_Yes,FT_Odd_BTTS_No
Mexico Liga MX,2023-05-11,00:10:00,0,Atlético San Luis,América,3.9,3.92,1.84,1.02,17.0,1.2,4.0,1.62,2.2,2.5,1.48,4.33,1.18,1.61,2.25
Ukraine Ukrainian Premier League,2023-05-11,07:00:00,1,Dnipro-1,Oleksandria,1.7,4.1,4.6,1.03,15.0,1.22,3.9,1.7,1.92,2.7,1.4,4.75,1.15,1.69,2.11
Denmark 1st Division,2023-05-11,13:00:00,7,SønderjyskE,Vejle,2.8,3.3,2.25,1.03,12.5,1.29,3.6,1.84,1.86,3.25,1.34,6.0,1.13,1.73,2.0
Denmark 1st Division,2023-05-11,14:00:00,7,Hobro,Fremad Amager,1.77,3.45,4.0,1.05,9.0,1.25,3.75,1.78,1.93,3.0,1.36,5.0,1.14,1.73,2.0
Argentina Prim B Nacional,2023-05-11,19:00:00,15,Aldosivi,Deportivo Riestra,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Argentina Prim B Nacional,2023-05-11,19:00:00,15,Racing Córdoba,Ferro Carril Oeste,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Argentina Prim B Nacional,2023-05-11,19:00:00,15,Atlanta,Gimnasia Jujuy,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Argentina Prim B Nacional,2023-05-11,19:00:00,15,Tristán Suárez,Quilmes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Argentina Prim B Nacional,2023-05-11,19:00:00,15,Chacarita Juniors,Brown de Adrogué,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Argentina Prim B Nacional,2023-05-11,19:00:00,15,Club Atlético Mitre,Estudiantes Caseros,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Argentina Prim B Nacional,2023-05-11,19:00:00,15,Chaco For Ever,Atlético Rafaela,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Argentina Prim B Nacional,2023-05-11,19:00:00,15,Independiente Rivadavia,Deportivo Madryn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Argentina Prim B Nacional,2023-05-11,19:00:00,15,Deportivo Maipú,Villa Dálmine,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Chile Primera B,2023-05-11,19:00:00,11,Deportes Temuco,Deportes Iquique,2.0,3.1,3.42,1.06,7.65,1.44,2.51,2.15,1.59,4.45,1.15,8.9,1.02,2.01,1.76
Chile Primera B,2023-05-11,19:00:00,11,Univ. Concepción,Antofagasta,2.47,3.0,2.65,1.09,7.55,1.47,2.55,2.14,1.6,4.75,1.17,8.25,1.04,1.98,1.78
Chile Primera B,2023-05-11,19:00:00,11,Cobreloa,Recoleta,1.95,3.0,3.9,0.0,0.0,1.5,2.42,2.35,1.5,0.0,0.0,0.0,0.0,0.0,0.0
Chile Primera B,2023-05-11,19:00:00,11,La Serena,Barnechea,1.9,3.05,3.9,1.08,7.8,1.44,2.6,2.25,1.54,4.28,1.18,7.95,1.05,2.22,1.63
Brazil Serie A,2023-05-11,19:00:00,5,Coritiba,Vasco da Gama,2.75,3.2,2.7,1.08,7.0,1.36,3.0,2.15,1.67,3.75,1.25,7.0,1.08,1.91,1.91
Brazil Serie A,2023-05-11,19:30:00,5,Botafogo,Corinthians,1.95,3.4,4.0,1.08,7.0,1.4,2.75,2.2,1.65,3.75,1.25,7.0,1.08,1.95,1.8
Paraguay Division Profesional,2023-05-11,20:00:00,17,General Caballero JLM,Guaireña,2.15,3.15,3.2,0.0,0.0,0.0,0.0,2.06,1.68,0.0,0.0,0.0,0.0,0.0,0.0
Colombia Categoria Primera A,2023-05-11,20:00:00,15,Independiente Medellín,Once Caldas,1.85,3.1,4.6,1.08,8.5,1.4,2.95,2.06,1.68,4.2,1.22,8.0,1.07,2.2,1.62
Brazil Serie A,2023-05-11,20:00:00,5,Fortaleza,São Paulo,2.0,3.2,4.2,1.07,7.5,1.36,3.0,2.1,1.7,3.5,1.29,7.0,1.08,1.91,1.91
Brazil Serie C,2023-05-11,20:00:00,3,Ypiranga Erechim,Paysandu,2.15,3.1,3.1,1.08,8.35,1.37,2.71,2.25,1.57,4.07,1.22,7.05,1.07,1.91,1.85
Mexico Ascenso MX,2023-05-11,20:00:00,0,Morelia,Celaya,2.46,3.08,3.16,1.04,8.5,1.37,3.08,1.99,1.62,3.9,1.26,7.6,1.05,1.71,1.9
Chile Primera División,2023-05-11,21:30:00,13,Everton,Palestino,2.0,3.4,3.4,1.03,14.0,1.22,3.9,1.7,2.1,2.8,1.38,5.25,1.14,1.62,2.2
Peru Primera División,2023-05-11,22:00:00,6,Alianza Lima,César Vallejo,1.43,4.3,7.0,1.05,11.0,1.38,3.0,1.75,1.97,4.2,1.22,8.0,1.07,2.15,1.66
Colombia Categoria Primera A,2023-05-11,22:00:00,13,Santa Fe,Atlético Nacional,2.0,3.15,3.75,1.08,7.0,1.4,2.75,2.2,1.68,4.0,1.22,7.5,1.07,1.91,1.8
Mexico Liga MX,2023-05-11,22:00:00,0,Atlas,Guadalajara,2.32,3.25,3.0,1.05,10.25,1.32,3.2,1.96,1.77,3.5,1.27,7.25,1.1,1.8,1.95
