League,Date,Time,Rodada,Home,Away,FT_Odd_H,FT_Odd_D,FT_Odd_A,FT_Odd_Over05,FT_Odd_Under05,FT_Odd_Over15,FT_Odd_Under15,FT_Odd_Over25,FT_Odd_Under25,FT_Odd_Over35,FT_Odd_Under35,FT_Odd_Over45,FT_Odd_Under45,FT_Odd_BTTS_Yes,FT_Odd_BTTS_No
Peru Primera División,2023-07-04,17:30:00,2,Sport Boys,Academia Cantolao,1.49,3.69,4.17,0.0,0.0,0.0,0.0,1.79,1.93,0.0,0.0,0.0,0.0,1.91,1.8
Argentina Primera División,2023-07-04,20:00:00,23,Lanús,Vélez Sarsfield,2.15,2.9,3.75,0.0,0.0,1.5,2.45,2.66,1.4,0.0,0.0,0.0,0.0,2.2,1.62
USA MLS,2023-07-04,20:30:00,0,Inter Miami,Columbus Crew,2.57,3.45,2.39,0.0,0.0,0.0,0.0,1.72,2.12,0.0,0.0,0.0,0.0,1.57,2.25
USA MLS,2023-07-04,20:30:00,0,Orlando City,Toronto,1.75,3.7,3.9,0.0,0.0,0.0,0.0,1.8,2.01,0.0,0.0,0.0,0.0,1.8,1.95
USA MLS,2023-07-04,21:30:00,0,FC Dallas,DC United,2.19,3.21,2.79,0.0,0.0,0.0,0.0,1.98,1.9,0.0,0.0,0.0,0.0,1.67,2.1
USA USL Championship,2023-07-04,22:00:00,0,Colorado Springs,Monterey Bay,2.0,3.6,3.1,0.0,0.0,0.0,0.0,1.87,1.89,0.0,0.0,0.0,0.0,1.83,1.83
USA USL Championship,2023-07-04,22:00:00,0,Las Vegas Lights,New Mexico United,2.63,3.5,2.3,0.0,0.0,0.0,0.0,1.81,1.95,0.0,0.0,0.0,0.0,1.8,1.91
USA MLS,2023-07-04,22:30:00,0,Colorado Rapids,Portland Timbers,2.24,3.3,2.86,0.0,0.0,0.0,0.0,1.98,1.9,0.0,0.0,0.0,0.0,1.91,1.91
USA MLS,2023-07-04,23:30:00,0,LA Galaxy,Los Angeles FC,2.9,3.6,2.1,1.01,15.0,1.15,4.75,1.79,2.02,2.2,1.57,3.6,1.25,1.44,2.63
