League,Date,Time,Rodada,Home,Away,FT_Odd_H,FT_Odd_D,FT_Odd_A,FT_Odd_Over05,FT_Odd_Under05,FT_Odd_Over15,FT_Odd_Under15,FT_Odd_Over25,FT_Odd_Under25,FT_Odd_Over35,FT_Odd_Under35,FT_Odd_Over45,FT_Odd_Under45,FT_Odd_BTTS_Yes,FT_Odd_BTTS_No
Bulgaria First League,2023-06-01,11:30:00,5,Lokomotiv Sofia 1929,Botev Plovdiv,2.1,3.3,3.3,1.07,7.5,1.36,3.0,2.1,1.7,3.5,1.29,6.5,1.1,1.85,1.85
Tunisia Ligue 1,2023-06-01,13:00:00,8,ES Tunis,Ben Guerdane,1.44,3.75,8.6,1.03,7.9,1.51,2.39,1.97,1.71,3.65,1.22,7.2,1.05,2.1,1.66
Egypt Egyptian Premier League,2023-06-01,13:00:00,30,Haras El Hodood,Aswan FC,3.05,2.95,2.3,1.1,6.07,1.47,2.57,2.45,1.5,4.68,1.16,9.5,1.04,2.0,1.77
Netherlands Eredivisie,2023-06-01,13:45:00,0,Heerenveen,Twente,3.2,3.4,2.36,1.01,16.0,1.17,4.3,1.72,2.07,2.48,1.46,4.3,1.16,1.57,2.46
Bulgaria First League,2023-06-01,14:00:00,5,Arda,Slavia Sofia,2.15,3.2,3.3,1.07,7.5,1.36,3.0,2.1,1.68,3.75,1.25,7.0,1.08,1.85,1.85
Romania Liga I,2023-06-01,14:30:00,0,CFR Cluj,U Craiova 1948,1.75,3.3,4.33,1.08,8.75,1.4,2.9,2.0,1.67,4.03,1.23,7.95,1.07,2.0,1.72
Italy Serie B,2023-06-01,15:30:00,0,Brescia,Cosenza,2.63,3.0,2.7,1.08,7.0,1.4,2.8,2.4,1.53,4.2,1.2,7.5,1.07,1.95,1.73
Egypt Egyptian Premier League,2023-06-01,15:30:00,30,ENPPI,Ghazl El Mehalla,2.07,2.95,3.6,1.11,6.51,1.49,2.5,2.45,1.5,4.84,1.17,9.2,1.02,2.09,1.7
Netherlands Eredivisie,2023-06-01,16:00:00,0,Utrecht,Sparta Rotterdam,1.7,4.2,4.9,1.03,11.0,1.2,4.3,1.72,2.07,2.6,1.47,4.7,1.17,1.66,2.16
Brazil Serie D,2023-06-01,17:00:00,5,Campinense,Nacional de Patos,2.25,3.1,2.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Colombia Categoria Primera B,2023-06-01,18:00:00,20,Patriotas Boyacá,Cúcuta Deportivo,1.91,3.0,3.8,1.1,6.75,1.47,2.66,2.35,1.5,4.69,1.18,10.0,1.02,2.2,1.64
Colombia Categoria Primera B,2023-06-01,18:00:00,20,Valledupar,Cortuluá,2.18,3.15,3.3,1.04,7.6,1.36,2.79,2.15,1.61,3.88,1.2,7.6,1.04,1.88,1.85
Argentina Primera División,2023-06-01,20:00:00,19,Sarmiento,Newell's Old Boys,2.75,2.75,2.55,1.1,6.25,1.53,2.35,2.65,1.4,4.6,1.17,9.75,1.05,2.05,1.66
Colombia Categoria Primera A,2023-06-01,20:15:00,23,Deportivo Pasto,Alianza Petrolera,1.67,3.3,4.6,1.07,7.75,1.36,2.87,2.05,1.61,3.7,1.24,7.25,1.08,2.03,1.75
Chile Primera B,2023-06-01,21:00:00,15,San Marcos,Barnechea,2.1,3.45,3.0,1.04,13.25,1.24,3.87,1.73,2.0,2.71,1.41,4.85,1.11,1.58,2.2
Chile Primera B,2023-06-01,21:00:00,15,San Marcos,Barnechea,2.1,3.45,3.0,1.04,13.25,1.24,3.87,1.73,2.0,2.71,1.41,4.85,1.11,1.58,2.2
Argentina Primera División,2023-06-01,21:30:00,19,Arsenal de Sarandí,Boca Juniors,4.6,3.2,1.73,1.05,7.2,1.4,2.68,2.2,1.6,4.15,1.18,8.1,1.03,2.1,1.65
Peru Primera División,2023-06-01,22:00:00,18,Sporting Cristal,Cienciano,1.46,4.5,7.0,1.03,13.0,1.25,3.75,1.84,1.98,3.1,1.36,6.0,1.12,2.1,1.7
Colombia Categoria Primera A,2023-06-01,22:30:00,23,Atlético Nacional,Rionegro Águilas,1.83,3.35,4.52,1.07,9.0,1.38,3.0,2.07,1.59,4.0,1.22,8.0,1.07,2.04,1.74
