League,N1,N2,N3
Argentina Prim B Nacional,H,H,H
Argentina Primera División,H,D,H
Australia A-League,H,H,A
Austria Bundesliga,H,A,D
Belgium Pro League,H,D,D
Bolivia LFPB,A,H,H
Brazil Serie A,H,A,A
Brazil Serie B,A,H,D
Brazil Serie C,H,H,H
Brazil Serie D,D,H,A
Bulgaria First League,A,H,A
Canada Canadian Premier League,D,H,H
Chile Primera B,H,A,A
Chile Primera División,D,D,A
Chile Segunda División,D,A,H
China Chinese Super League,H,D,H
Colombia Categoria Primera A,H,A,H
Colombia Categoria Primera B,H,D,A
Croatia Prva HNL,A,D,D
Czech Republic First League,D,D,A
Denmark 1st Division,A,D,A
Denmark Superliga,H,A,D
Ecuador Primera Categoría Serie A,D,H,H
Egypt Egyptian Premier League,D,H,H
England Championship,H,A,A
England EFL League One,H,H,H
England EFL League Two,H,D,A
England National League,A,A,H
England Premier League,D,D,A
Finland Veikkausliiga,H,H,A
France Ligue 1,H,A,D
France Ligue 2,A,A,H
Germany 2. Bundesliga,H,H,A
Germany Bundesliga,H,H,H
Greece Super League,A,H,A
Hungary NB I,H,D,H
Italy Serie A,H,H,D
Italy Serie B,H,A,D
Japan J1 League,H,A,H
Japan J2 League,D,A,H
Mexico Ascenso MX,D,D,A
Mexico Liga MX,A,A,H
Netherlands Eerste Divisie,D,A,H
Netherlands Eredivisie,A,H,H
Netherlands Tweede Divisie,A,H,H
Norway Eliteserien,A,A,H
Paraguay Division Profesional,H,D,H
Peru Primera División,A,D,H
Poland Ekstraklasa,D,A,D
Portugal Liga NOS,H,H,H
Portugal LigaPro,H,D,A
Republic of Ireland Premier Division,A,A,A
Romania Liga I,D,A,H
Scotland Premiership,H,H,A
Serbia SuperLiga,D,D,D
Slovakia Super Liga,H,H,H
Slovenia PrvaLiga,A,A,D
South Korea K League 1,H,A,A
South Korea K League 2,H,H,D
Spain La Liga,H,D,D
Spain Segunda División,H,H,H
Sweden Allsvenskan,A,D,D
Switzerland Super League,A,D,A
Tunisia Ligue 1,A,D,H
Turkey Süper Lig,A,D,H
USA MLS,D,A,H
USA USL Championship,A,D,D
Ukraine Ukrainian Premier League,D,D,A
Uruguay Primera División,A,A,D
Uruguay Segunda División,H,A,A
Venezuela Primera División,A,D,D
