League,Date,Time,Rodada,Home,Away,FT_Odd_H,FT_Odd_D,FT_Odd_A,FT_Odd_Over05,FT_Odd_Under05,FT_Odd_Over15,FT_Odd_Under15,FT_Odd_Over25,FT_Odd_Under25,FT_Odd_Over35,FT_Odd_Under35,FT_Odd_Over45,FT_Odd_Under45,FT_Odd_BTTS_Yes,FT_Odd_BTTS_No
Ukraine Ukrainian Premier League,2023-05-15,07:00:00,26,Minai,Dnipro-1,7.25,4.4,1.33,1.03,15.0,1.23,3.8,1.7,2.0,2.75,1.4,4.9,1.14,2.04,1.74
China Chinese Super League,2023-05-15,08:35:00,7,Beijing Guoan,Nantong Zhiyun,1.4,4.33,6.5,1.07,7.5,1.33,3.2,1.95,1.75,3.75,1.25,6.5,1.1,2.15,1.65
Ukraine Ukrainian Premier League,2023-05-15,09:00:00,26,Kolos Kovalivka,Oleksandria,3.05,3.0,2.2,1.05,10.5,1.36,3.0,2.0,1.7,3.75,1.25,6.0,1.1,1.83,1.9
Bulgaria First League,2023-05-15,12:00:00,1,CSKA Sofia,Cherno More,1.64,3.55,5.6,1.05,7.5,1.37,2.8,2.35,1.53,3.9,1.2,9.25,1.04,2.15,1.62
Egypt Egyptian Premier League,2023-05-15,13:00:00,28,Al Masry,El Daklyeh FC,1.57,3.4,5.55,1.05,7.2,1.4,2.64,2.31,1.57,4.15,1.17,8.2,1.03,2.11,1.69
Serbia SuperLiga,2023-05-15,13:00:00,5,Radnički Niš,Javor Ivanjica,1.76,3.65,4.3,1.07,6.8,1.3,3.2,2.08,1.67,3.6,1.25,6.3,1.08,1.95,1.75
Serbia SuperLiga,2023-05-15,13:00:00,5,Radnik Surdulica,Mladost Novi Sad,2.22,3.1,3.35,1.04,7.25,1.5,2.41,2.55,1.45,4.4,1.14,8.25,1.01,1.95,1.68
Serbia SuperLiga,2023-05-15,13:00:00,5,Spartak Subotica,Mladost Lučani,1.9,3.6,3.75,0.0,0.0,0.0,0.0,2.1,1.65,0.0,0.0,0.0,0.0,0.0,0.0
Poland Ekstraklasa,2023-05-15,14:00:00,32,Warta Poznań,Radomiak Radom,2.05,3.3,3.25,1.08,7.0,1.38,2.8,1.9,1.8,4.2,1.2,8.0,1.06,1.95,1.8
Portugal LigaPro,2023-05-15,14:00:00,32,UD Oliveirense,Torreense,2.44,3.15,2.7,1.03,8.5,1.28,3.3,1.95,1.75,3.3,1.28,5.8,1.1,1.83,1.83
Denmark Superliga,2023-05-15,14:00:00,7,Randers,Viborg,2.65,3.25,2.42,1.04,10.5,1.32,3.35,1.9,1.8,3.55,1.29,6.95,1.1,1.75,2.0
Sweden Allsvenskan,2023-05-15,14:10:00,8,AIK,IFK Göteborg,1.92,3.25,3.65,1.07,9.5,1.38,3.05,2.0,1.7,3.95,1.25,7.9,1.08,2.0,1.8
Bulgaria First League,2023-05-15,14:15:00,1,Ludogorets,Lokomotiv Plovdiv,1.18,6.6,15.0,1.01,14.0,1.18,4.5,1.62,2.15,2.65,1.45,4.9,1.16,2.36,1.56
Uruguay Primera División,2023-05-15,15:00:00,15,Boston River,Plaza Colonia,2.16,3.13,3.03,1.06,9.5,1.35,2.95,2.1,1.66,3.8,1.23,8.25,1.07,1.85,1.91
Egypt Egyptian Premier League,2023-05-15,15:30:00,28,ENPPI,Al Ittihad,2.73,2.85,2.54,1.05,6.95,1.44,2.65,2.34,1.56,4.33,1.2,8.5,1.03,1.95,1.8
Argentina Primera División,2023-05-15,15:30:00,16,Barracas Central,Central Córdoba SdE,2.63,3.19,2.85,1.07,7.0,1.4,2.7,2.25,1.62,3.8,1.22,7.5,1.06,1.95,1.8
Argentina Primera División,2023-05-15,15:30:00,16,Unión Santa Fe,Sarmiento,2.13,3.26,3.73,1.1,6.5,1.44,2.62,2.3,1.6,4.33,1.2,8.0,1.06,2.0,1.75
Argentina Prim B Nacional,2023-05-15,15:30:00,14,Deportivo Riestra,Racing Córdoba,2.2,2.9,3.2,1.09,7.65,1.54,2.33,2.3,1.57,4.38,1.17,8.1,1.05,2.1,1.67
France Ligue 2,2023-05-15,15:45:00,35,Annecy,Le Havre,3.3,2.95,2.18,1.08,6.5,1.5,2.4,2.35,1.53,4.0,1.2,8.0,1.05,2.1,1.67
Italy Serie A,2023-05-15,15:45:00,35,Sampdoria,Empoli,2.71,3.41,2.46,1.05,11.0,1.32,3.4,1.9,1.85,3.4,1.32,6.5,1.11,1.7,2.05
Republic of Ireland Premier Division,2023-05-15,15:45:00,24,Derry City,Dundalk,1.7,3.55,4.38,1.06,8.0,1.33,3.25,1.96,1.76,3.4,1.3,6.5,1.1,1.9,1.8
Spain Segunda División,2023-05-15,16:00:00,40,Levante UD,UD Ibiza,1.35,4.9,10.0,1.04,8.5,1.28,3.5,1.8,1.9,3.3,1.3,5.2,1.12,2.2,1.62
Spain La Liga,2023-05-15,16:00:00,34,Real Betis,Rayo Vallecano,1.92,3.53,3.78,1.06,10.0,1.35,3.25,2.05,1.75,3.6,1.3,7.5,1.09,1.91,1.91
England Premier League,2023-05-15,16:00:00,36,Leicester City,Liverpool,4.43,4.43,1.62,1.01,22.0,1.13,5.8,1.53,2.45,2.15,1.67,3.65,1.28,1.57,2.25
Republic of Ireland Premier Division,2023-05-15,16:00:00,24,Shamrock Rovers,St Patrick's Athl.,1.55,3.73,5.4,1.07,7.5,1.33,3.25,2.0,1.73,3.5,1.29,6.5,1.1,2.05,1.68
Bolivia LFPB,2023-05-15,16:00:00,13,Club Always Ready,Guabirá,1.51,4.03,5.05,1.02,16.0,1.15,5.0,1.57,2.31,2.25,1.57,4.6,1.18,1.97,1.76
Portugal Liga NOS,2023-05-15,16:15:00,32,GD Estoril Praia,FC Arouca,2.73,3.23,2.57,1.08,7.0,1.38,2.9,2.15,1.62,4.35,1.23,8.5,1.05,1.91,1.87
Chile Primera B,2023-05-15,16:30:00,12,Santiago Morning,Rangers,2.35,2.89,2.96,1.06,6.8,1.5,2.43,2.53,1.4,4.45,1.15,8.8,1.02,1.98,1.78
