League,N1,N2,N3
ARGENTINA - COPA DE LA LIGA PROFESIONAL,Over05,Over05,Over05
BRAZIL - COPA DO BRASIL,Over05,Under05,Over05
CHINA - SUPER LEAGUE,Over05,Over05,Over05
COSTA RICA - PRIMERA DIVISION,Over05,Over05,Over05
DOMINICAN REPUBLIC - LDF,Over05,Over05,Over05
ECUADOR - LIGA PRO,Under05,Over05,Over05
ENGLAND - CHAMPIONSHIP,Over05,Over05,Over05
INDONESIA - LIGA 1,Over05,Over05,Over05
NIGERIA - NPFL,Over05,Over05,Over05
NORTHERN IRELAND - NIFL CHAMPIONSHIP,Over05,Over05,Over05
NORTHERN IRELAND - NIFL PREMIERSHIP,Over05,Over05,Over05
PORTUGAL - LIGA PORTUGAL 2,Over05,Over05,Over05
SAN MARINO - CAMPIONATO SAMMARINESE,Over05,Over05,Over05
SOUTH KOREA - K LEAGUE 1,Over05,Over05,Over05
SWEDEN - SUPERETTAN,Over05,Over05,Over05
USA - MLS,Over05,Over05,Over05
VENEZUELA - LIGA FUTVE,Over05,Over05,Over05
