League,N1,N2,N3
ALBANIA - SUPERLIGA,H,A,D
ARGENTINA - COPA DE LA LIGA PROFESIONAL,A,D,H
BAHRAIN - PREMIER LEAGUE,A,D,H
BOSNIA AND HERZEGOVINA - PREMIJER LIGA BIH,D,D,H
BRAZIL - SERIE B,A,D,A
CAMEROON - ELITE ONE,A,D,H
CHINA - SUPER LEAGUE,A,D,H
COLOMBIA - PRIMERA A,H,A,A
ECUADOR - LIGA PRO,D,D,A
ENGLAND - PREMIER LEAGUE,D,D,H
GHANA - PREMIER LEAGUE,D,A,H
INDIA - ISL,D,H,A
IRELAND - PREMIER DIVISION,A,H,H
ITALY - SERIE C,A,H,A
IVORY COAST - LIGUE 1,D,D,A
JAMAICA - PREMIER LEAGUE,H,D,D
NETHERLANDS - EERSTE DIVISIE,A,A,D
PARAGUAY - PRIMERA DIVISION,D,H,D
PERU - LIGA 1,D,D,D
POLAND - DIVISION 1,H,A,A
POLAND - EKSTRAKLASA,H,D,H
ROMANIA - LIGA 1,A,H,A
ROMANIA - LIGA 2,H,A,A
SERBIA - PRVA LIGA,H,H,A
SERBIA - SUPER LIGA,D,H,H
SPAIN - LALIGA2,A,H,H
SWEDEN - ALLSVENSKAN,A,H,H
SWEDEN - SUPERETTAN,D,D,D
URUGUAY - PRIMERA DIVISION,H,A,A
