League,Date,Time,Home,Away,FT_Odd_H,FT_Odd_D,FT_Odd_A
BELGIUM - JUPILER PRO LEAGUE,27/05/2023,13:15,Westerlo,Gent,4.0,3.8,1.8
FRANCE - LIGUE 1,27/05/2023,16:00,Strasbourg,Paris SG,5.0,4.2,1.62
