League,N1,N2,N3
ALBANIA - SUPERLIGA,A,A,A
ANDORRA - PRIMERA DIVISIÓ,H,A,H
ARGENTINA - COPA DE LA LIGA PROFESIONAL,A,H,D
ARGENTINA - PRIMERA NACIONAL,H,A,D
ARMENIA - PREMIER LEAGUE,A,D,A
AUSTRALIA - A-LEAGUE,D,H,H
AUSTRIA - 2. LIGA,A,H,D
AUSTRIA - BUNDESLIGA,A,H,A
AZERBAIJAN - PREMIER LEAGUE,H,A,D
BAHRAIN - PREMIER LEAGUE,H,A,D
BELARUS - VYSSHAYA LIGA,A,D,D
BELGIUM - CHALLENGER PRO LEAGUE,D,D,H
BELGIUM - JUPILER PRO LEAGUE,H,A,H
BOSNIA AND HERZEGOVINA - PREMIJER LIGA BIH,D,D,D
BRAZIL - SERIE A,A,D,A
BRAZIL - SERIE B,D,D,D
CANADA - CANADIAN PREMIER LEAGUE,H,A,H
COSTA RICA - PRIMERA DIVISION,A,D,D
CROATIA - HNL,A,D,D
ECUADOR - LIGA PRO,H,D,D
EGYPT - PREMIER LEAGUE,A,A,H
ENGLAND - CHAMPIONSHIP,H,A,A
ENGLAND - LEAGUE ONE,H,H,A
ENGLAND - LEAGUE TWO,H,A,D
ENGLAND - PREMIER LEAGUE,H,H,H
ESTONIA - MEISTRILIIGA,H,A,H
FINLAND - VEIKKAUSLIIGA,A,A,D
GEORGIA - CRYSTALBET EROVNULI LIGA,A,D,D
GHANA - PREMIER LEAGUE,H,H,A
HONG KONG - PREMIER LEAGUE,A,A,A
INDIA - I-LEAGUE,H,A,H
INDIA - ISL,H,H,H
INDONESIA - LIGA 1,A,D,A
IRAQ - SUPER LEAGUE,H,A,D
IRELAND - PREMIER DIVISION,H,D,D
ITALY - SERIE C,D,D,D
MALTA - PREMIER LEAGUE,A,A,D
MEXICO - LIGA DE EXPANSION MX,H,A,H
MEXICO - LIGA MX,H,A,H
MOLDOVA - SUPER LIGA,D,H,D
MONGOLIA - PREMIER LEAGUE,H,H,A
MONTENEGRO - PRVA CRNOGORSKA LIGA,A,A,A
MOROCCO - BOTOLA PRO,H,D,H
NETHERLANDS - EREDIVISIE,D,H,H
NETHERLANDS - TWEEDE DIVISIE,A,D,A
NICARAGUA - LIGA PRIMERA,H,H,A
NIGERIA - NPFL,H,H,H
NORTH MACEDONIA - 1. MFL,D,H,H
NORTHERN IRELAND - NIFL CHAMPIONSHIP,H,H,A
NORTHERN IRELAND - NIFL PREMIERSHIP,H,H,D
NORWAY - OBOS-LIGAEN,H,A,H
PANAMA - LPF,A,H,H
PARAGUAY - PRIMERA DIVISION,D,D,H
PERU - LIGA 1,A,H,D
POLAND - DIVISION 1,H,A,H
POLAND - EKSTRAKLASA,D,H,H
PORTUGAL - LIGA PORTUGAL,H,A,A
PORTUGAL - LIGA PORTUGAL 2,A,H,A
QATAR - QSL,A,H,D
ROMANIA - LIGA 1,D,A,D
ROMANIA - LIGA 2,H,D,H
RUSSIA - PREMIER LEAGUE,H,D,H
SAN MARINO - CAMPIONATO SAMMARINESE,D,A,H
SAUDI ARABIA - SAUDI PROFESSIONAL LEAGUE,D,A,H
SCOTLAND - CHAMPIONSHIP,H,A,H
SCOTLAND - LEAGUE ONE,D,A,A
SCOTLAND - PREMIERSHIP,D,A,H
SENEGAL - LIGUE 1,D,D,A
SERBIA - PRVA LIGA,H,D,A
SERBIA - SUPER LIGA,A,D,H
SLOVAKIA - NIKE LIGA,H,A,H
SLOVENIA - PRVA LIGA,H,H,H
SOUTH AMERICA - COPA SUDAMERICANA,H,H,D
SOUTH KOREA - K LEAGUE 1,H,H,H
SOUTH KOREA - K LEAGUE 2,D,A,A
SPAIN - LALIGA2,A,D,A
SPAIN - PRIMERA RFEF,A,H,H
SWEDEN - ALLSVENSKAN,H,A,A
SWEDEN - SUPERETTAN,A,D,A
SWITZERLAND - SUPER LEAGUE,H,D,H
THAILAND - THAI LEAGUE 1,H,H,D
USA - MLS,H,A,D
USA - USL CHAMPIONSHIP,A,H,H
UZBEKISTAN - SUPER LEAGUE,A,H,H
VIETNAM - V.LEAGUE 1,D,H,A
