League,N1,N2,N3
Argentina Prim B Nacional,H,D,H
Argentina Primera División,D,A,D
Australia A-League,D,A,H
Austria Bundesliga,D,A,A
Belgium Pro League,H,D,H
Bolivia LFPB,A,D,A
Brazil Serie A,D,A,D
Brazil Serie B,A,A,H
Brazil Serie C,H,H,H
Brazil Serie D,D,H,A
Bulgaria First League,H,H,D
Canada Canadian Premier League,D,D,H
Chile Primera B,A,H,H
Chile Primera División,H,H,D
Chile Segunda División,H,D,A
China Chinese Super League,H,D,H
Colombia Categoria Primera A,H,A,H
Colombia Categoria Primera B,A,H,A
Croatia Prva HNL,D,D,D
Czech Republic First League,H,D,A
Denmark 1st Division,D,D,H
Denmark Superliga,A,H,D
Ecuador Primera Categoría Serie A,D,H,D
Egypt Egyptian Premier League,H,D,D
England Championship,A,H,A
England EFL League One,H,A,H
England EFL League Two,A,D,H
England National League,H,H,H
England Premier League,D,D,H
Finland Veikkausliiga,A,H,D
France Ligue 1,H,D,H
France Ligue 2,H,D,H
Germany 2. Bundesliga,D,A,H
Germany Bundesliga,H,H,H
Greece Super League,A,D,A
Hungary NB I,D,H,H
Italy Serie A,D,A,H
Italy Serie B,H,A,D
Japan J1 League,H,D,A
Japan J2 League,H,D,D
Mexico Ascenso MX,D,D,H
Mexico Liga MX,D,H,A
Netherlands Eerste Divisie,H,A,H
Netherlands Eredivisie,H,A,D
Netherlands Tweede Divisie,A,H,H
Norway Eliteserien,A,H,H
Paraguay Division Profesional,H,H,D
Peru Primera División,H,A,A
Poland Ekstraklasa,H,A,H
Portugal Liga NOS,H,H,A
Portugal LigaPro,D,D,D
Republic of Ireland Premier Division,H,H,A
Romania Liga I,D,D,H
Scotland Premiership,A,A,A
Serbia SuperLiga,A,H,H
Slovakia Super Liga,A,A,H
Slovenia PrvaLiga,A,A,D
South Korea K League 1,H,H,A
South Korea K League 2,A,H,H
Spain La Liga,H,D,H
Spain Segunda División,A,A,H
Sweden Allsvenskan,D,A,H
Switzerland Super League,H,H,D
Tunisia Ligue 1,A,A,A
Turkey Süper Lig,H,D,H
USA MLS,A,D,D
USA USL Championship,H,D,A
Ukraine Ukrainian Premier League,A,D,H
Uruguay Primera División,D,D,H
Uruguay Segunda División,A,H,A
Venezuela Primera División,D,A,D
