League,Date,Time,Rodada,Home,Away,FT_Odd_H,FT_Odd_D,FT_Odd_A,FT_Odd_Over05,FT_Odd_Under05,FT_Odd_Over15,FT_Odd_Under15,FT_Odd_Over25,FT_Odd_Under25,FT_Odd_Over35,FT_Odd_Under35,FT_Odd_Over45,FT_Odd_Under45,FT_Odd_BTTS_Yes,FT_Odd_BTTS_No
Italy Serie B,2023-05-01,07:30:00,35,Como,Palermo,2.12,3.1,3.2,1.05,10.0,1.27,3.55,2.03,1.62,3.4,1.3,6.75,1.1,1.66,2.12
China Chinese Super League,2023-05-01,08:35:00,4,Dalian Yifang,Meizhou Hakka,2.23,3.3,2.86,1.04,12.0,1.25,3.74,1.73,1.92,3.0,1.36,6.0,1.13,1.67,2.1
England Championship,2023-05-01,09:00:00,45,Rotherham United,Middlesbrough,3.45,3.15,2.03,1.06,10.0,1.33,3.3,2.02,1.65,3.75,1.28,7.5,1.09,1.83,1.83
Romania Liga I,2023-05-01,09:00:00,6,Universitatea Cluj,Voluntari,1.91,3.1,3.5,1.1,6.5,1.42,2.75,2.14,1.51,4.33,1.2,8.0,1.06,2.0,1.75
Italy Serie B,2023-05-01,10:00:00,35,Ascoli,Pisa,2.36,3.05,2.8,1.08,8.45,1.42,2.75,2.16,1.55,4.2,1.2,8.0,1.06,1.95,1.77
Italy Serie B,2023-05-01,10:00:00,35,Bari 1908,Cittadella,1.77,3.25,4.2,1.09,7.75,1.46,2.54,2.16,1.55,4.43,1.17,8.15,1.04,2.15,1.62
Italy Serie B,2023-05-01,10:00:00,35,Benevento,Parma,2.61,2.85,2.66,1.06,9.15,1.38,2.9,2.27,1.5,4.0,1.22,6.95,1.07,1.9,1.83
Italy Serie B,2023-05-01,10:00:00,35,Brescia,Cosenza,2.12,3.15,3.15,1.04,8.0,1.36,2.95,2.07,1.6,3.7,1.22,7.25,1.07,1.95,1.8
Italy Serie B,2023-05-01,10:00:00,35,Südtirol,Genoa,2.69,2.89,2.55,1.1,7.5,1.48,2.55,2.36,1.46,4.53,1.15,8.35,1.04,2.2,1.62
Sweden Allsvenskan,2023-05-01,10:00:00,5,IFK Göteborg,Norrköping,2.84,3.4,2.26,1.05,12.0,1.26,3.9,1.75,1.93,3.25,1.35,6.5,1.12,1.7,2.0
Croatia Prva HNL,2023-05-01,11:00:00,32,Lokomotiva Zagreb,Gorica,1.85,3.5,3.6,1.06,8.0,1.33,3.2,1.95,1.85,3.6,1.25,6.0,1.11,1.83,1.83
Republic of Ireland Premier Division,2023-05-01,11:00:00,13,St Patrick's Athl.,Sligo Rovers,2.02,3.35,3.3,1.06,8.0,1.3,3.3,1.88,1.76,3.4,1.28,6.0,1.11,1.77,1.93
Spain Segunda División,2023-05-01,11:15:00,38,Sporting Gijón,CD Lugo,1.74,3.15,4.65,1.09,7.0,1.5,2.45,2.41,1.44,4.5,1.18,8.0,1.06,2.37,1.51
Serbia SuperLiga,2023-05-01,12:00:00,3,Kolubara,Spartak Subotica,2.39,3.0,2.63,1.06,8.0,1.36,2.95,1.86,1.68,4.0,1.22,6.5,1.1,1.85,1.9
Italy Serie B,2023-05-01,13:00:00,35,Venezia,Modena,2.23,3.1,2.95,1.02,9.5,1.36,3.0,2.11,1.57,3.7,1.22,6.5,1.07,1.75,1.95
Hungary NB I,2023-05-01,13:00:00,29,Újpest,Ferencváros,5.0,3.95,1.55,0.0,0.0,0.0,0.0,1.68,1.98,0.0,0.0,0.0,0.0,0.0,0.0
Norway Eliteserien,2023-05-01,13:00:00,4,Vålerenga,Lillestrøm,2.2,3.4,2.94,1.03,12.5,1.24,4.1,1.68,2.02,3.1,1.38,5.8,1.14,1.66,2.17
Republic of Ireland Premier Division,2023-05-01,13:00:00,13,Bohemians,Cork City,1.72,3.45,4.5,1.06,8.0,1.3,3.3,1.93,1.72,3.5,1.28,6.5,1.1,1.9,1.85
Republic of Ireland Premier Division,2023-05-01,13:00:00,13,Drogheda United,Shelbourne,2.53,3.05,2.68,1.1,6.5,1.42,2.75,2.23,1.53,4.33,1.2,8.0,1.06,1.98,1.73
Republic of Ireland Premier Division,2023-05-01,13:00:00,13,UCD,Dundalk,3.85,3.35,1.86,1.02,8.9,1.28,3.26,1.89,1.75,3.26,1.28,6.15,1.08,1.81,1.93
Croatia Prva HNL,2023-05-01,13:10:00,32,Slaven Koprivnica,Rijeka,3.8,3.2,1.91,1.07,7.5,1.36,2.95,2.1,1.7,4.0,1.22,6.5,1.1,1.83,1.83
Spain Segunda División,2023-05-01,13:30:00,38,Málaga CF,SD Huesca,2.07,2.89,3.55,1.09,7.0,1.54,2.43,2.54,1.4,4.75,1.15,10.0,1.04,2.15,1.6
England Championship,2023-05-01,13:30:00,45,Blackburn Rovers,Luton Town,2.37,3.2,2.75,1.05,12.0,1.3,3.6,2.02,1.65,3.3,1.33,6.5,1.12,1.83,1.83
Poland Ekstraklasa,2023-05-01,14:00:00,30,Cracovia Kraków,Miedź Legnica,1.81,3.5,4.05,1.05,7.5,1.38,2.8,1.97,1.73,3.8,1.22,7.05,1.06,2.05,1.7
Spain La Liga,2023-05-01,14:00:00,32,RCD Mallorca,Athletic Club Bilbao,3.6,2.87,2.12,1.12,5.7,1.56,2.43,2.67,1.38,5.5,1.13,12.0,1.02,2.2,1.62
Turkey Süper Lig,2023-05-01,14:00:00,32,İstanbulspor,Giresunspor,2.41,3.3,2.7,1.03,10.65,1.25,3.82,1.75,1.93,3.06,1.36,5.61,1.13,1.62,2.2
Denmark Superliga,2023-05-01,14:00:00,5,Midtjylland,Silkeborg,1.85,3.3,3.6,1.02,14.5,1.22,4.3,1.75,1.95,2.75,1.44,4.95,1.17,1.67,2.1
Serbia SuperLiga,2023-05-01,14:00:00,3,Bačka Topola,Partizan,2.7,3.0,2.4,1.08,7.0,1.36,2.95,2.05,1.61,3.75,1.25,7.0,1.08,1.83,1.9
Romania Liga I,2023-05-01,14:30:00,6,Rapid Bucureşti,CFR Cluj,2.58,3.1,2.39,1.08,7.0,1.4,2.8,1.98,1.6,4.2,1.2,7.5,1.07,1.9,1.83
Republic of Ireland Premier Division,2023-05-01,15:15:00,13,Derry City,Shamrock Rovers,1.98,3.35,3.4,1.06,8.0,1.3,3.3,1.88,1.76,3.5,1.28,6.0,1.11,1.77,1.9
Italy Serie B,2023-05-01,15:30:00,35,Frosinone,Reggina,1.74,3.35,4.25,1.06,9.5,1.34,3.15,2.03,1.62,4.1,1.23,8.5,1.07,2.05,1.7
France Ligue 2,2023-05-01,15:45:00,33,Sochaux,Dijon,1.85,3.15,4.0,1.08,7.5,1.38,2.8,2.21,1.52,3.8,1.23,7.75,1.07,2.0,1.7
Spain Segunda División,2023-05-01,16:00:00,38,Burgos CF,Villarreal II,2.07,2.93,3.5,1.09,7.0,1.54,2.43,2.54,1.4,4.75,1.15,10.0,1.04,2.15,1.61
Spain La Liga,2023-05-01,16:00:00,32,Sevilla FC,Girona FC,1.76,3.5,4.05,1.05,11.0,1.32,3.4,1.85,1.79,3.5,1.32,6.5,1.11,1.8,1.95
England Premier League,2023-05-01,16:00:00,34,Leicester City,Everton,2.05,3.25,3.4,1.05,9.0,1.33,3.25,2.08,1.64,3.4,1.3,6.0,1.11,1.8,1.95
Bolivia LFPB,2023-05-01,16:00:00,11,Libertad,Guabirá,1.85,3.85,3.3,1.03,15.5,1.2,4.1,1.59,2.12,2.5,1.47,4.52,1.18,1.57,2.25
Brazil Serie B,2023-05-01,16:00:00,4,Londrina,Criciúma,2.55,2.87,2.8,1.12,5.5,1.5,2.37,2.62,1.43,4.75,1.15,10.0,1.04,2.1,1.63
Colombia Categoria Primera A,2023-05-01,17:00:00,17,Envigado,Atlético Huila,2.02,3.05,3.75,1.09,8.0,1.47,2.75,2.33,1.51,4.75,1.18,9.5,1.05,2.1,1.72
Paraguay Division Profesional,2023-05-01,19:00:00,15,Sportivo Ameliano,Sportivo Luqueño,2.65,3.0,2.4,0.0,0.0,0.0,0.0,1.91,1.73,0.0,0.0,0.0,0.0,0.0,0.0
Colombia Categoria Primera A,2023-05-01,19:15:00,17,Jaguares de Córdoba,Once Caldas,2.06,3.0,3.65,1.09,6.75,1.47,2.7,2.35,1.51,4.4,1.18,9.25,1.05,2.05,1.68
Brazil Serie A,2023-05-01,20:00:00,3,Vasco da Gama,Bahia,1.65,3.6,4.75,1.07,8.0,1.34,2.95,2.15,1.67,3.5,1.26,7.0,1.08,2.1,1.67
Colombia Categoria Primera B,2023-05-01,21:30:00,15,Patriotas Boyacá,Cortuluá,1.69,3.3,4.4,1.05,8.25,1.4,2.8,2.09,1.72,4.2,1.2,8.0,1.05,2.15,1.66
