League,N1,N2,N3
ALBANIA - SUPERLIGA,D,A,A
ANDORRA - PRIMERA DIVISIÓ,A,A,A
ARGENTINA - COPA DE LA LIGA PROFESIONAL,A,H,D
AUSTRALIA - A-LEAGUE,D,H,A
AZERBAIJAN - PREMIER LEAGUE,H,H,D
BELGIUM - CHALLENGER PRO LEAGUE,A,H,A
BELGIUM - JUPILER PRO LEAGUE,D,A,D
BOLIVIA - DIVISION PROFESIONAL,H,A,D
BOSNIA AND HERZEGOVINA - PREMIJER LIGA BIH,H,H,H
CROATIA - HNL,A,A,D
EGYPT - PREMIER LEAGUE,D,H,H
ENGLAND - CHAMPIONSHIP,D,A,A
ENGLAND - LEAGUE ONE,D,H,H
ENGLAND - LEAGUE TWO,H,D,D
ENGLAND - PREMIER LEAGUE,H,H,D
GHANA - PREMIER LEAGUE,H,H,D
INDIA - I-LEAGUE,A,H,H
INDIA - ISL,A,H,H
INDONESIA - LIGA 1,D,A,D
IRAQ - SUPER LEAGUE,A,A,H
ITALY - SERIE C,D,A,H
MALTA - PREMIER LEAGUE,D,A,A
MOROCCO - BOTOLA PRO,D,D,H
NETHERLANDS - EREDIVISIE,H,H,A
NETHERLANDS - TWEEDE DIVISIE,A,A,H
NIGERIA - NPFL,D,A,A
NORTHERN IRELAND - NIFL CHAMPIONSHIP,H,H,H
NORTHERN IRELAND - NIFL PREMIERSHIP,D,H,A
POLAND - DIVISION 1,H,D,D
POLAND - EKSTRAKLASA,H,H,D
PORTUGAL - LIGA PORTUGAL,D,A,H
PORTUGAL - LIGA PORTUGAL 2,H,A,H
REPUBLIC OF THE CONGO - LIGUE 1,H,A,H
ROMANIA - LIGA 1,A,A,H
SAN MARINO - CAMPIONATO SAMMARINESE,H,A,H
SAUDI ARABIA - SAUDI PROFESSIONAL LEAGUE,D,H,H
SCOTLAND - CHAMPIONSHIP,A,D,A
SCOTLAND - LEAGUE ONE,A,H,H
SCOTLAND - LEAGUE TWO,D,H,D
SCOTLAND - PREMIERSHIP,H,D,H
SENEGAL - LIGUE 1,A,H,A
SERBIA - SUPER LIGA,H,H,H
SLOVAKIA - NIKE LIGA,D,A,H
SLOVENIA - PRVA LIGA,D,D,D
SPAIN - LALIGA2,H,H,D
SPAIN - PRIMERA RFEF,D,H,D
SWITZERLAND - CHALLENGE LEAGUE,H,H,D
SWITZERLAND - SUPER LEAGUE,H,A,H
THAILAND - THAI LEAGUE 1,A,H,A
URUGUAY - PRIMERA DIVISION,D,D,H
VIETNAM - V.LEAGUE 1,D,H,A
