League,Date,Time,Home,Away,FT_Odd_H,FT_Odd_D,FT_Odd_A
NORWAY - ELITESERIEN,02/07/2023,12:00,Lillestrom,Tromso,1.62,3.8,5.75
BRAZIL - SERIE A,02/07/2023,16:00,Botafogo RJ,Vasco,1.7,3.8,4.75
MEXICO - LIGA MX,02/07/2023,22:05,Santos Laguna,Queretaro,1.67,4.0,5.0
