League,Date,Time,Home,Away,FT_Odd_H,FT_Odd_D,FT_Odd_A
NORWAY - ELITESERIEN,04/06/2023,12:00,Aalesund,Brann,5.5,4.0,1.62
ITALY - SERIE A,04/06/2023,16:00,Udinese,Juventus,3.8,3.5,1.91
