League,N1,N2,N3
ANDORRA - PRIMERA DIVISIÓ,Under25,Over25,Under25
ARGENTINA - COPA DE LA LIGA PROFESIONAL,Over25,Over25,Under25
ARGENTINA - PRIMERA NACIONAL,Under25,Under25,Under25
ARMENIA - PREMIER LEAGUE,Under25,Under25,Over25
AUSTRALIA - A-LEAGUE,Over25,Over25,Under25
AUSTRIA - 2. LIGA,Over25,Over25,Over25
AUSTRIA - BUNDESLIGA,Over25,Over25,Under25
AZERBAIJAN - PREMIER LEAGUE,Over25,Under25,Over25
BAHRAIN - PREMIER LEAGUE,Over25,Under25,Over25
BELARUS - VYSSHAYA LIGA,Under25,Under25,Over25
BELGIUM - CHALLENGER PRO LEAGUE,Under25,Under25,Over25
BELGIUM - JUPILER PRO LEAGUE,Under25,Over25,Over25
BOSNIA AND HERZEGOVINA - PREMIJER LIGA BIH,Under25,Under25,Under25
BRAZIL - SERIE A,Over25,Under25,Under25
BRAZIL - SERIE B,Under25,Under25,Under25
BULGARIA - PARVA LIGA,Under25,Over25,Under25
CHINA - SUPER LEAGUE,Under25,Under25,Under25
COSTA RICA - PRIMERA DIVISION,Over25,Under25,Over25
CROATIA - HNL,Under25,Under25,Under25
DOMINICAN REPUBLIC - LDF,Under25,Under25,Over25
ECUADOR - LIGA PRO,Over25,Over25,Under25
EGYPT - PREMIER LEAGUE,Under25,Under25,Over25
ENGLAND - CHAMPIONSHIP,Under25,Under25,Over25
ENGLAND - PREMIER LEAGUE,Over25,Under25,Over25
FINLAND - VEIKKAUSLIIGA,Under25,Under25,Over25
GEORGIA - CRYSTALBET EROVNULI LIGA,Over25,Over25,Under25
GHANA - PREMIER LEAGUE,Under25,Under25,Under25
HONG KONG - PREMIER LEAGUE,Under25,Over25,Over25
INDIA - I-LEAGUE,Under25,Over25,Over25
INDIA - ISL,Under25,Over25,Under25
INDONESIA - LIGA 1,Over25,Under25,Under25
ITALY - SERIE C,Over25,Over25,Over25
IVORY COAST - LIGUE 1,Over25,Under25,Under25
JAMAICA - PREMIER LEAGUE,Over25,Over25,Under25
MALTA - PREMIER LEAGUE,Over25,Under25,Under25
MEXICO - LIGA DE EXPANSION MX,Under25,Under25,Over25
MEXICO - LIGA MX,Under25,Over25,Over25
MOLDOVA - SUPER LIGA,Under25,Over25,Over25
MONGOLIA - PREMIER LEAGUE,Over25,Under25,Over25
MOROCCO - BOTOLA PRO,Under25,Over25,Under25
NETHERLANDS - EERSTE DIVISIE,Over25,Over25,Under25
NETHERLANDS - EREDIVISIE,Under25,Over25,Under25
NICARAGUA - LIGA PRIMERA,Under25,Over25,Under25
NIGERIA - NPFL,Over25,Over25,Under25
NORTH MACEDONIA - 1. MFL,Under25,Over25,Under25
NORWAY - OBOS-LIGAEN,Under25,Under25,Under25
PANAMA - LPF,Over25,Over25,Under25
PARAGUAY - PRIMERA DIVISION,Over25,Over25,Over25
PERU - LIGA 1,Under25,Over25,Under25
POLAND - DIVISION 1,Under25,Over25,Over25
POLAND - EKSTRAKLASA,Under25,Over25,Under25
PORTUGAL - LIGA PORTUGAL,Over25,Over25,Under25
PORTUGAL - LIGA PORTUGAL 2,Over25,Over25,Under25
QATAR - QSL,Over25,Under25,Under25
ROMANIA - LIGA 1,Under25,Under25,Under25
ROMANIA - LIGA 2,Over25,Under25,Under25
RUSSIA - PREMIER LEAGUE,Under25,Over25,Over25
SAN MARINO - CAMPIONATO SAMMARINESE,Under25,Over25,Under25
SCOTLAND - PREMIERSHIP,Over25,Over25,Under25
SENEGAL - LIGUE 1,Under25,Under25,Under25
SERBIA - SUPER LIGA,Under25,Under25,Over25
SLOVAKIA - NIKE LIGA,Over25,Under25,Over25
SLOVENIA - PRVA LIGA,Under25,Over25,Under25
SOUTH KOREA - K LEAGUE 1,Under25,Under25,Under25
SOUTH KOREA - K LEAGUE 2,Under25,Under25,Over25
SPAIN - LALIGA2,Under25,Over25,Over25
SPAIN - PRIMERA RFEF,Over25,Under25,Under25
SWEDEN - ALLSVENSKAN,Over25,Under25,Over25
SWEDEN - SUPERETTAN,Over25,Over25,Over25
SWITZERLAND - CHALLENGE LEAGUE,Over25,Under25,Under25
SWITZERLAND - SUPER LEAGUE,Over25,Under25,Over25
THAILAND - THAI LEAGUE 1,Under25,Over25,Over25
URUGUAY - PRIMERA DIVISION,Over25,Under25,Under25
USA - MLS,Over25,Over25,Over25
UZBEKISTAN - SUPER LEAGUE,Over25,Under25,Over25
VENEZUELA - LIGA FUTVE,Under25,Over25,Under25
VIETNAM - V.LEAGUE 1,Under25,Over25,Under25
