League,Date,Time,Home,Away,FT_Odd_H,FT_Odd_D,FT_Odd_A
GERMANY - 2. BUNDESLIGA,28/04/2023,13:30,Paderborn,Braunschweig,1.65,4.0,5.25
NETHERLANDS - EERSTE DIVISIE,28/04/2023,15:00,Den Haag,Helmond,1.75,4.0,4.33
IRELAND - PREMIER DIVISION,28/04/2023,15:45,Derry City,St. Patricks,1.67,3.5,4.75
SPAIN - LALIGA2,28/04/2023,16:00,Racing Santander,UD Ibiza,1.67,3.5,5.75
ARGENTINA - LIGA PROFESIONAL,28/04/2023,19:00,Huracan,Arsenal Sarandi,1.62,3.8,6.0
