League,Date,Time,Rodada,Home,Away,FT_Odd_H,FT_Odd_D,FT_Odd_A,FT_Odd_Over05,FT_Odd_Under05,FT_Odd_Over15,FT_Odd_Under15,FT_Odd_Over25,FT_Odd_Under25,FT_Odd_Over35,FT_Odd_Under35,FT_Odd_Over45,FT_Odd_Under45,FT_Odd_BTTS_Yes,FT_Odd_BTTS_No
China Chinese Super League,2023-06-29,08:35:00,13,Shandong Luneng,Changchun Yatai,1.38,5.04,7.56,1.02,10.0,1.14,4.65,1.53,2.35,2.2,1.6,3.92,1.2,1.67,2.1
China Chinese Super League,2023-06-29,08:35:00,13,Beijing Guoan,Shanghai SIPG,3.21,3.52,2.08,1.03,9.0,1.17,4.3,1.62,2.15,2.48,1.46,4.33,1.16,1.53,2.38
China Chinese Super League,2023-06-29,08:35:00,13,Shenzhen,Chengdu Better City FC,8.85,5.0,1.34,1.03,12.0,1.22,4.0,1.69,2.17,2.85,1.4,4.75,1.13,2.0,1.75
Egypt Egyptian Premier League,2023-06-29,13:00:00,32,Ismaily SC,Aswan FC,1.99,2.95,3.97,1.07,6.15,1.48,2.48,2.75,1.4,4.7,1.14,9.3,1.01,2.14,1.67
Egypt Egyptian Premier League,2023-06-29,15:30:00,32,National Bank of Egypt,Al Ahly,5.22,3.66,1.64,1.02,8.9,1.28,3.2,1.84,1.89,3.28,1.27,6.2,1.07,1.99,1.78
