League,Date,Time,Rodada,Home,Away,FT_Odd_H,FT_Odd_D,FT_Odd_A,FT_Odd_Over05,FT_Odd_Under05,FT_Odd_Over15,FT_Odd_Under15,FT_Odd_Over25,FT_Odd_Under25,FT_Odd_Over35,FT_Odd_Under35,FT_Odd_Over45,FT_Odd_Under45,FT_Odd_BTTS_Yes,FT_Odd_BTTS_No
South Korea K League 2,2023-07-19,07:00:00,22,Seongnam,Gyeongnam,2.43,3.22,2.33,1.08,7.0,1.36,2.95,1.87,1.73,3.75,1.25,7.0,1.08,1.83,1.9
South Korea K League 2,2023-07-19,07:00:00,22,Jeonnam Dragons,Ansan Greeners,1.72,3.41,3.65,1.05,11.5,1.28,3.3,1.74,1.86,3.15,1.32,5.75,1.1,1.83,1.93
South Korea K League 2,2023-07-19,07:30:00,22,Sangju Sangmu,Asan Mugunghwa,1.65,3.85,4.68,1.05,9.0,1.28,3.5,1.95,1.81,3.2,1.33,5.5,1.12,1.95,1.8
Norway Eliteserien,2023-07-19,13:00:00,11,Lillestrøm,Aalesund,1.56,4.1,5.5,1.05,9.0,1.25,3.75,1.78,1.98,2.27,1.56,5.0,1.14,1.85,1.85
Egypt Egyptian Premier League,2023-07-19,14:30:00,33,Al Ahly,Haras El Hodood,1.11,7.0,16.0,1.02,16.0,1.17,4.75,1.54,2.32,2.2,1.53,3.8,1.25,2.6,1.45
Brazil Serie B,2023-07-19,19:00:00,18,Atlético GO,Mirassol,2.2,2.85,3.25,1.1,6.5,1.44,2.62,2.35,1.53,4.33,1.2,8.0,1.06,2.0,1.71
Brazil Serie B,2023-07-19,19:00:00,18,Novorizontino,Londrina,1.45,3.75,6.5,1.1,6.5,1.44,2.65,2.15,1.64,4.75,1.18,8.0,1.06,2.63,1.44
USA USL Championship,2023-07-19,20:00:00,0,Detroit City FC,Louisville City,2.67,3.2,2.3,1.04,12.75,1.24,3.63,1.86,1.92,2.89,1.36,5.2,1.13,1.66,2.16
Brazil Serie B,2023-07-19,21:30:00,18,Avaí,Sampaio Corrêa,2.2,2.85,3.25,1.11,6.0,1.5,2.5,2.35,1.54,4.5,1.17,9.0,1.05,2.1,1.67
Brazil Serie B,2023-07-19,21:30:00,18,Sport Recife,Vitória,1.65,3.3,5.0,1.1,6.5,1.44,2.62,2.33,1.54,4.33,1.2,8.0,1.06,2.25,1.57
Brazil Serie B,2023-07-19,21:30:00,18,Ceará,Vila Nova,2.35,2.85,3.0,1.1,6.5,1.45,2.65,2.4,1.52,4.5,1.18,8.0,1.06,2.0,1.73
Brazil Serie B,2023-07-19,21:30:00,18,ABC,Guarani,2.55,2.85,2.75,1.1,6.5,1.48,2.48,2.37,1.5,4.75,1.17,9.0,1.05,2.1,1.67
Colombia Categoria Primera A,2023-07-19,22:00:00,1,Santa Fe,Jaguares de Córdoba,1.9,3.25,3.8,1.05,10.0,1.33,3.25,2.4,1.58,3.75,1.28,7.0,1.09,2.0,1.78
