League,Date,Time,Rodada,Home,Away,FT_Odd_H,FT_Odd_D,FT_Odd_A,FT_Odd_Over05,FT_Odd_Under05,FT_Odd_Over15,FT_Odd_Under15,FT_Odd_Over25,FT_Odd_Under25,FT_Odd_Over35,FT_Odd_Under35,FT_Odd_Over45,FT_Odd_Under45,FT_Odd_BTTS_Yes,FT_Odd_BTTS_No
Mexico Liga MX,2023-05-18,00:00:00,0,Tigres UANL,Monterrey,2.6,3.25,2.7,1.05,10.0,1.33,3.25,2.15,1.67,3.6,1.28,7.0,1.09,1.95,1.8
Denmark 1st Division,2023-05-18,09:00:00,8,Hvidovre,SønderjyskE,2.0,3.45,3.55,1.04,10.0,1.25,3.75,1.81,2.01,2.75,1.4,5.0,1.14,1.62,2.2
Turkey Süper Lig,2023-05-18,14:00:00,34,Fenerbahçe,Trabzonspor,1.85,3.75,3.9,1.03,17.0,1.19,4.5,1.65,2.18,2.55,1.49,4.75,1.17,1.67,2.1
Egypt Egyptian Premier League,2023-05-18,14:00:00,28,Zamalek,Aswan FC,1.9,3.3,4.0,1.04,7.8,1.35,2.84,2.15,1.65,3.74,1.21,7.4,1.04,1.92,1.79
England Premier League,2023-05-18,15:30:00,25,Newcastle United,Brighton & Hove Albion,1.95,3.6,3.6,1.03,11.0,1.2,4.33,1.57,2.25,2.5,1.5,4.33,1.2,1.53,2.38
England EFL League One,2023-05-18,16:00:00,0,Sheffield Wednesday,Peterborough United,1.83,4.0,3.75,1.05,9.0,1.29,3.5,1.83,1.95,3.0,1.36,5.0,1.14,1.67,2.1
Paraguay Division Profesional,2023-05-18,19:00:00,18,Sportivo Trinidense,Sportivo Ameliano,2.15,3.4,3.1,0.0,0.0,0.0,0.0,1.85,1.9,0.0,0.0,0.0,0.0,0.0,0.0
Argentina Prim B Nacional,2023-05-18,19:00:00,16,Deportivo Maipú,Aldosivi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Argentina Prim B Nacional,2023-05-18,19:00:00,16,Villa Dálmine,Independiente Rivadavia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Argentina Prim B Nacional,2023-05-18,19:00:00,16,Deportivo Madryn,Chaco For Ever,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Argentina Prim B Nacional,2023-05-18,19:00:00,16,Atlético Rafaela,Club Atlético Mitre,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Argentina Prim B Nacional,2023-05-18,19:00:00,16,Estudiantes Caseros,Chacarita Juniors,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Argentina Prim B Nacional,2023-05-18,19:00:00,16,Brown de Adrogué,Tristán Suárez,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Argentina Prim B Nacional,2023-05-18,19:00:00,16,Quilmes,Atlanta,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Argentina Prim B Nacional,2023-05-18,19:00:00,16,Ferro Carril Oeste,Deportivo Riestra,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Argentina Primera División,2023-05-18,21:00:00,17,Arsenal de Sarandí,Independiente,3.2,3.1,2.3,1.1,7.5,1.5,2.6,2.3,1.55,5.0,1.18,10.0,1.04,2.05,1.72
Chile Primera División,2023-05-18,21:00:00,15,Colo-Colo,Curicó Unido,1.63,4.0,5.0,1.04,10.0,1.25,3.75,1.87,1.9,2.75,1.4,4.75,1.15,1.88,1.8
Argentina Primera División,2023-05-18,21:00:00,17,Arsenal de Sarandí,Independiente,3.2,3.1,2.3,1.1,7.5,1.5,2.6,2.3,1.55,5.0,1.18,10.0,1.04,2.05,1.72
Chile Primera División,2023-05-18,21:00:00,15,Colo-Colo,Curicó Unido,1.63,4.0,5.0,1.04,10.0,1.25,3.75,1.87,1.9,2.75,1.4,4.75,1.15,1.88,1.8
Paraguay Division Profesional,2023-05-18,21:30:00,18,Nacional Asunción,Resistencia,1.87,3.4,4.0,0.0,0.0,0.0,0.0,2.2,1.63,0.0,0.0,0.0,0.0,0.0,0.0
Mexico Liga MX,2023-05-18,23:10:00,0,Guadalajara,América,3.0,3.4,2.3,1.03,15.0,1.22,4.0,1.8,2.0,2.95,1.4,5.5,1.15,1.67,2.1
