League,Date,Time,Rodada,Home,Away,FT_Odd_H,FT_Odd_D,FT_Odd_A,FT_Odd_Over05,FT_Odd_Under05,FT_Odd_Over15,FT_Odd_Under15,FT_Odd_Over25,FT_Odd_Under25,FT_Odd_Over35,FT_Odd_Under35,FT_Odd_Over45,FT_Odd_Under45,FT_Odd_BTTS_Yes,FT_Odd_BTTS_No
USA USL Championship,2023-07-27,00:00:00,0,Sacramento Republic,Phoenix Rising,1.72,3.5,4.15,1.04,12.0,1.27,3.4,1.86,1.85,3.1,1.32,5.6,1.11,1.8,1.95
9701,2023-07-27,00:05:00,1,CA La Paz,Celaya,2.55,3.4,2.3,1.05,9.0,1.29,3.5,1.85,1.95,3.0,1.36,5.5,1.12,1.7,2.05
Peru Primera División,2023-07-27,17:00:00,6,Sporting Cristal,Deportivo Binacional,1.24,5.85,11.5,1.02,21.0,1.15,4.68,1.52,2.45,2.23,1.6,4.0,1.22,2.15,1.62
Venezuela Primera División,2023-07-27,19:00:00,21,Angostura,Deportivo La Guaira,2.9,2.9,2.3,1.06,6.85,1.38,2.71,2.05,1.65,3.95,1.19,7.8,1.04,1.88,1.88
