League,N1,N2,N3
Argentina Prim B Nacional,D,D,H
Argentina Primera División,D,D,H
Australia A-League,A,D,H
Austria Bundesliga,H,D,H
Belgium Pro League,H,D,A
Bolivia LFPB,D,H,H
Brazil Serie A,A,D,A
Brazil Serie B,D,H,A
Brazil Serie C,D,A,A
Brazil Serie D,D,A,D
Bulgaria First League,H,A,D
Canada Canadian Premier League,H,D,A
Chile Primera B,D,H,H
Chile Primera División,H,D,D
Chile Segunda División,D,H,D
China Chinese Super League,H,D,H
Colombia Categoria Primera A,H,A,H
Colombia Categoria Primera B,A,D,D
Croatia Prva HNL,H,H,D
Czech Republic First League,D,H,D
Denmark 1st Division,A,H,H
Denmark Superliga,D,A,D
Ecuador Primera Categoría Serie A,D,A,H
Egypt Egyptian Premier League,D,A,A
England Championship,H,H,A
England EFL League One,D,H,D
England EFL League Two,H,H,D
England National League,D,H,A
England Premier League,A,A,D
Finland Veikkausliiga,D,H,H
France Ligue 1,D,A,A
France Ligue 2,D,D,H
Germany 2. Bundesliga,H,H,D
Germany Bundesliga,D,D,H
Greece Super League,H,H,H
Hungary NB I,H,H,D
Italy Serie A,D,A,D
Italy Serie B,H,H,H
Japan J1 League,D,A,D
Japan J2 League,A,A,H
Mexico Ascenso MX,A,D,D
Mexico Liga MX,A,A,H
Netherlands Eerste Divisie,H,A,H
Netherlands Eredivisie,A,H,A
Netherlands Tweede Divisie,D,D,A
Norway Eliteserien,H,H,H
Paraguay Division Profesional,D,A,D
Peru Primera División,D,D,D
Poland Ekstraklasa,A,H,D
Portugal Liga NOS,D,H,A
Portugal LigaPro,H,D,H
Republic of Ireland Premier Division,H,D,D
Romania Liga I,H,H,A
Scotland Premiership,D,A,A
Serbia SuperLiga,H,A,H
Slovakia Super Liga,A,A,A
Slovenia PrvaLiga,D,H,H
South Korea K League 1,D,D,D
South Korea K League 2,H,D,D
Spain La Liga,H,H,H
Spain Segunda División,D,D,A
Sweden Allsvenskan,D,D,D
Switzerland Super League,D,D,D
Tunisia Ligue 1,D,H,A
Turkey Süper Lig,D,H,H
USA MLS,H,A,D
USA USL Championship,H,D,A
Ukraine Ukrainian Premier League,A,A,H
Uruguay Primera División,D,H,A
Uruguay Segunda División,H,D,A
Venezuela Primera División,H,D,H
