League,N1,N2,N3
AUSTRALIA - A-LEAGUE,Over05,Over05,Over05
CAMEROON - ELITE ONE,Over05,Under05,Over05
ENGLAND - FA CUP,Under05,Over05,Over05
ENGLAND - LEAGUE ONE,Over05,Over05,Over05
ENGLAND - LEAGUE TWO,Over05,Over05,Over05
ITALY - SERIE C,Over05,Over05,Over05
MALTA - PREMIER LEAGUE,Over05,Over05,Over05
MOROCCO - BOTOLA PRO,Over05,Over05,Over05
NIGERIA - NPFL,Over05,Over05,Under05
PORTUGAL - LIGA PORTUGAL,Over05,Over05,Over05
PORTUGAL - LIGA PORTUGAL 2,Over05,Over05,Over05
REPUBLIC OF THE CONGO - LIGUE 1,Over05,Over05,Over05
SAN MARINO - CAMPIONATO SAMMARINESE,Over05,Over05,Under05
SCOTLAND - CHAMPIONSHIP,Over05,Over05,Over05
SCOTLAND - LEAGUE ONE,Over05,Over05,Over05
SCOTLAND - LEAGUE TWO,Over05,Over05,Over05
SPAIN - COPA DEL REY,Over05,Over05,Over05
THAILAND - THAI LEAGUE 1,Over05,Over05,Over05
