League,Date,Time,Home,Away,FT_Odd_H,FT_Odd_D,FT_Odd_A
FRANCE - LIGUE 1,30/04/2023,10:00,Troyes,Nice,4.75,3.75,1.73
SWEDEN - ALLSVENSKAN,30/04/2023,10:00,Varberg,Kalmar,4.33,3.5,1.91
SWITZERLAND - SUPER LEAGUE,30/04/2023,11:30,Winterthur,Basel,3.8,3.5,1.95
SLOVAKIA - FORTUNA LIGA,30/04/2023,12:30,Podbrezova,Dun. Streda,3.7,3.64,1.95
SWEDEN - ALLSVENSKAN,30/04/2023,12:30,Degerfors,Djurgarden,4.33,4.0,1.75
SPAIN - LALIGA,30/04/2023,16:00,Valladolid,Atl. Madrid,5.75,3.8,1.62
MEXICO - LIGA MX,30/04/2023,20:00,Queretaro,Pachuca,4.0,3.6,1.91
