League,Date,Time,Home,Away,FT_Odd_H,FT_Odd_D,FT_Odd_A
SERBIA - SUPER LIGA,15/05/2023,13:00,Sp. Subotica,Mladost,1.72,3.3,4.8
SPAIN - LALIGA2,15/05/2023,16:00,Levante,UD Ibiza,1.4,4.5,8.5
