League,Date,Time,Rodada,Home,Away,FT_Odd_H,FT_Odd_D,FT_Odd_A,FT_Odd_Over05,FT_Odd_Under05,FT_Odd_Over15,FT_Odd_Under15,FT_Odd_Over25,FT_Odd_Under25,FT_Odd_Over35,FT_Odd_Under35,FT_Odd_Over45,FT_Odd_Under45,FT_Odd_BTTS_Yes,FT_Odd_BTTS_No
Egypt Egyptian Premier League,2023-07-26,14:30:00,30,Al Masry,Al Ahly,4.7,3.7,1.63,1.01,11.75,1.25,3.72,1.95,1.91,2.92,1.37,5.35,1.13,1.82,1.88
9580,2023-07-26,15:30:00,1,Stade Lausanne-Ouchy,Lugano,3.0,3.5,2.2,1.01,9.9,1.25,3.6,1.83,1.9,3.1,1.35,5.4,1.1,1.68,2.05
USA USL Championship,2023-07-26,20:00:00,0,Pittsburgh Riverhounds,Indy Eleven,1.53,3.6,5.5,1.05,9.0,1.29,3.5,1.85,1.87,3.25,1.33,5.5,1.12,1.9,1.8
USA USL Championship,2023-07-26,23:00:00,0,Oakland Roots,Las Vegas Lights,1.61,3.5,4.75,1.04,12.0,1.28,3.5,1.85,1.87,3.2,1.33,5.65,1.11,1.88,1.85
