League,N1,N2,N3
ALBANIA - SUPERLIGA,D,H,A
ANDORRA - PRIMERA DIVISIÓ,H,D,A
AUSTRALIA - A-LEAGUE,A,H,D
BANGLADESH - PREMIER LEAGUE,H,A,D
BELGIUM - CHALLENGER PRO LEAGUE,H,A,A
BELGIUM - JUPILER PRO LEAGUE,H,H,H
COLOMBIA - PRIMERA A,A,A,H
COSTA RICA - PRIMERA DIVISION,D,H,H
ENGLAND - CHAMPIONSHIP,A,A,A
ENGLAND - LEAGUE ONE,H,H,A
ENGLAND - LEAGUE TWO,A,H,H
ENGLAND - PREMIER LEAGUE,D,H,A
ITALY - SERIE C,A,H,D
MALTA - PREMIER LEAGUE,A,A,D
MEXICO - LIGA MX,A,D,A
NETHERLANDS - EREDIVISIE,H,D,H
NETHERLANDS - TWEEDE DIVISIE,A,A,A
NICARAGUA - LIGA PRIMERA,D,H,H
NIGERIA - NPFL,A,A,H
NORTHERN IRELAND - NIFL CHAMPIONSHIP,A,H,D
NORTHERN IRELAND - NIFL PREMIERSHIP,A,D,D
PANAMA - LPF,H,D,A
PARAGUAY - PRIMERA DIVISION,D,A,D
PORTUGAL - LIGA PORTUGAL,A,D,H
PORTUGAL - LIGA PORTUGAL 2,D,H,H
REPUBLIC OF THE CONGO - LIGUE 1,D,H,H
ROMANIA - LIGA 1,A,D,D
SAN MARINO - CAMPIONATO SAMMARINESE,A,D,H
SCOTLAND - CHAMPIONSHIP,D,H,H
SCOTLAND - LEAGUE ONE,D,H,A
SCOTLAND - LEAGUE TWO,A,H,A
SPAIN - LALIGA2,H,D,D
SPAIN - PRIMERA RFEF,H,A,D
SWITZERLAND - SUPER LEAGUE,A,A,H
