League,Date,Time,Home,Away,FT_Odd_H,FT_Odd_D,FT_Odd_A
IRELAND - PREMIER DIVISION,05/06/2023,14:00,Sligo Rovers,Shamrock Rovers,4.5,3.5,1.73
BRAZIL - SERIE A,05/06/2023,20:00,Vasco,Flamengo RJ,3.75,3.6,2.0
