League,Date,Time,Rodada,Home,Away,FT_Odd_H,FT_Odd_D,FT_Odd_A,FT_Odd_Over05,FT_Odd_Under05,FT_Odd_Over15,FT_Odd_Under15,FT_Odd_Over25,FT_Odd_Under25,FT_Odd_Over35,FT_Odd_Under35,FT_Odd_Over45,FT_Odd_Under45,FT_Odd_BTTS_Yes,FT_Odd_BTTS_No
Japan J2 League,2023-07-22,06:00:00,27,Tochigi,Shimizu S-Pulse,5.0,3.6,1.57,1.05,8.0,1.33,3.1,1.94,1.71,3.6,1.25,6.0,1.09,2.0,1.75
Japan J2 League,2023-07-22,06:00:00,27,Machida Zelvia,JEF United,2.1,2.95,3.25,1.09,6.0,1.47,2.55,2.45,1.44,4.75,1.16,8.0,1.05,2.1,1.7
South Korea K League 1,2023-07-22,07:00:00,24,Suwon,Gwangju,3.25,3.5,2.05,1.01,13.0,1.24,3.7,1.81,1.79,2.9,1.38,5.25,1.13,1.65,2.1
Japan J2 League,2023-07-22,07:00:00,27,Montedio Yamagata,V-Varen Nagasaki,2.35,3.25,2.55,1.02,9.5,1.25,3.75,1.85,2.01,2.9,1.38,5.0,1.13,1.6,2.25
Japan J2 League,2023-07-22,07:00:00,27,Fujieda MYFC,Zweigen Kanazawa,2.0,3.5,2.95,1.02,12.0,1.18,4.5,1.51,2.29,2.25,1.57,4.0,1.22,1.45,2.6
Japan J2 League,2023-07-22,07:00:00,27,Renofa Yamaguchi,Blaublitz Akita,2.45,2.85,2.7,1.11,6.0,1.53,2.37,2.36,1.48,4.75,1.15,8.5,1.04,2.2,1.62
Japan J2 League,2023-07-22,07:00:00,27,Tokushima Vortis,Ventforet Kofu,2.8,3.0,2.3,1.07,7.0,1.38,3.03,2.08,1.62,4.08,1.24,7.0,1.07,1.83,1.83
Japan J2 League,2023-07-22,07:00:00,27,Oita Trinita,Iwaki,2.05,3.1,3.2,1.05,8.0,1.33,3.1,2.04,1.82,3.5,1.28,6.0,1.09,1.8,1.95
Japan J1 League,2023-07-22,07:00:00,16,Vissel Kobe,Kawasaki Frontale,2.4,3.5,2.7,1.05,9.0,1.25,3.6,1.71,1.99,2.9,1.36,5.25,1.13,1.65,2.1
South Korea K League 1,2023-07-22,07:30:00,24,Gangwon,Suwon Bluewings,2.45,3.2,2.8,1.07,9.25,1.38,2.9,2.15,1.57,4.0,1.22,7.0,1.07,1.87,1.87
South Korea K League 1,2023-07-22,07:30:00,24,FC Seoul,Incheon United,1.98,3.5,3.5,1.05,8.0,1.3,3.2,2.01,1.85,3.3,1.29,5.75,1.1,1.8,1.91
South Korea K League 1,2023-07-22,08:00:00,24,Daejeon Citizen,Daegu,2.5,3.4,2.6,1.05,8.0,1.25,3.75,1.88,1.98,2.9,1.38,5.0,1.13,1.6,2.25
China Chinese Super League,2023-07-22,08:35:00,18,Chengdu Better City FC,Dalian Yifang,1.45,3.9,7.0,1.03,13.0,1.25,3.6,1.83,1.9,3.2,1.33,5.5,1.11,2.05,1.72
China Chinese Super League,2023-07-22,08:35:00,18,Changchun Yatai,Shanghai Shenhua,2.85,3.25,2.25,1.03,8.5,1.27,3.4,1.96,1.74,3.5,1.25,6.85,1.11,1.78,1.99
China Chinese Super League,2023-07-22,08:35:00,18,Hangzhou,Shandong Luneng,3.6,3.4,1.95,1.06,10.5,1.3,3.28,2.04,1.78,3.6,1.29,7.1,1.07,1.85,1.85
China Chinese Super League,2023-07-22,08:35:00,18,Beijing Guoan,Qingdao Jonoon,1.65,3.9,4.33,1.03,16.0,1.19,4.0,1.6,2.1,2.64,1.41,4.7,1.14,1.75,2.01
9567,2023-07-22,09:00:00,1,B 93,AaB,5.5,4.5,1.55,1.02,12.0,1.17,5.0,1.6,2.3,2.28,1.56,4.2,1.23,1.67,2.1
Sweden Allsvenskan,2023-07-22,10:00:00,16,Djurgården,Elfsborg,2.4,3.4,2.7,1.03,12.0,1.24,4.1,1.68,2.02,3.05,1.38,5.75,1.14,1.62,2.2
9288,2023-07-22,10:00:00,12,Albion,Progreso,2.65,2.9,2.5,1.07,7.0,1.45,2.55,2.26,1.5,4.4,1.16,8.0,1.02,2.0,1.68
9553,2023-07-22,10:00:00,1,Stal Mielec,Cracovia Kraków,2.75,3.25,2.5,1.07,7.5,1.4,2.8,2.07,1.65,4.0,1.22,7.8,1.08,1.95,1.8
9592,2023-07-22,10:00:00,1,Pardubice,Bohemians 1905,2.3,3.5,2.75,0.0,0.0,0.0,0.0,1.99,1.67,0.0,0.0,0.0,0.0,1.53,2.38
9592,2023-07-22,10:00:00,1,Karviná,Zlín,2.51,3.22,2.88,0.0,0.0,0.0,0.0,2.05,1.77,0.0,0.0,0.0,0.0,1.75,2.0
9592,2023-07-22,10:00:00,1,Teplice,Viktoria Plzeň,4.5,3.9,1.68,0.0,0.0,0.0,0.0,1.69,1.86,0.0,0.0,0.0,0.0,1.75,2.0
Finland Veikkausliiga,2023-07-22,11:00:00,16,Oulu,KTP,1.75,3.6,4.4,1.02,8.9,1.3,3.2,1.91,1.95,3.3,1.29,5.75,1.1,1.88,1.88
Finland Veikkausliiga,2023-07-22,11:00:00,16,HJK,Ilves,1.49,4.22,7.15,1.07,10.25,1.36,3.2,2.08,1.76,3.73,1.28,7.35,1.09,2.25,1.62
Finland Veikkausliiga,2023-07-22,11:00:00,16,Inter Turku,SJK,2.5,3.25,2.7,1.05,8.0,1.33,3.0,2.04,1.82,3.4,1.29,6.0,1.09,1.82,1.94
Argentina Prim B Nacional,2023-07-22,11:00:00,26,Guillermo Brown,All Boys,1.7,3.25,5.0,1.06,6.75,1.53,2.37,2.48,1.41,4.8,1.14,11.0,1.04,2.25,1.48
9545,2023-07-22,11:00:00,1,Lyngby,København,4.6,3.9,1.66,1.03,16.0,1.19,4.6,1.75,1.9,2.63,1.48,5.0,1.18,1.67,2.1
Argentina Prim B Nacional,2023-07-22,12:10:00,26,San Telmo,Temperley,3.0,2.9,2.35,1.05,7.0,1.5,2.45,2.48,1.42,4.5,1.12,8.25,1.01,2.0,1.66
Uruguay Primera División,2023-07-22,12:15:00,7,Racing,Deportivo Maldonado,2.35,3.3,2.7,1.05,8.0,1.33,3.0,1.7,1.88,3.4,1.29,6.0,1.09,1.8,1.91
9622,2023-07-22,12:15:00,2,SSC Farul,Voluntari,1.73,3.4,4.5,1.04,10.0,1.3,3.3,1.92,1.88,3.3,1.3,6.75,1.09,1.72,2.05
Sweden Allsvenskan,2023-07-22,12:30:00,16,Värnamo,Häcken,4.33,3.8,1.72,1.03,12.5,1.18,4.33,1.65,2.07,2.33,1.53,4.0,1.2,1.62,2.2
9553,2023-07-22,12:30:00,1,Raków Częstochowa,Jagiellonia Białystok,1.3,5.25,9.5,1.02,12.5,1.19,4.3,1.69,2.01,2.8,1.38,5.3,1.14,2.05,1.7
9579,2023-07-22,12:30:00,1,Mura,Domžale,2.08,3.56,3.39,1.02,9.2,1.28,3.5,1.83,1.97,3.1,1.33,5.9,1.08,1.72,2.05
9579,2023-07-22,12:30:00,1,Bravo,Rogaška,1.85,3.64,4.16,1.02,8.8,1.3,3.3,1.98,1.83,3.3,1.3,5.75,1.1,1.83,1.9
Norway Eliteserien,2023-07-22,13:00:00,15,Molde,Sarpsborg 08,1.49,4.75,5.5,1.02,17.0,1.05,7.0,1.39,2.68,1.88,1.98,2.61,1.42,1.4,2.75
9580,2023-07-22,13:00:00,1,Grasshopper,Servette,3.5,3.7,1.93,1.01,13.0,1.17,4.9,1.74,1.96,2.48,1.49,4.4,1.18,1.57,2.25
9580,2023-07-22,13:00:00,1,St. Gallen,Basel,1.9,3.9,3.5,1.02,23.0,1.13,5.4,1.56,2.25,2.1,1.67,3.9,1.24,1.44,2.63
9592,2023-07-22,13:00:00,1,Slavia Praha,Hradec Králové,1.15,8.5,14.5,0.0,0.0,0.0,0.0,1.41,2.55,1.92,1.88,0.0,0.0,2.05,1.7
9551,2023-07-22,13:15:00,2,Botev Plovdiv,Levski Sofia,3.5,3.2,2.0,1.04,7.8,1.36,2.83,2.04,1.59,3.82,1.21,7.4,1.04,1.92,1.82
Chile Primera B,2023-07-22,13:30:00,19,Unión San Felipe,San Marcos,2.19,3.36,3.08,1.04,8.5,1.24,3.5,1.92,1.86,2.82,1.34,5.4,1.12,1.68,2.1
Chile Primera B,2023-07-22,13:30:00,19,Deportes Temuco,San Luis,2.29,3.28,2.97,1.04,8.5,1.3,3.2,2.03,1.77,3.35,1.28,6.8,1.07,1.75,2.0
9542,2023-07-22,13:45:00,1,Rijeka,Rudeš,1.44,4.2,6.0,1.01,11.0,1.25,3.6,1.75,1.95,2.9,1.36,5.25,1.13,1.95,1.75
