League,Date,Time,Home,Away,FT_Odd_H,FT_Odd_D,FT_Odd_A
DENMARK - SUPERLIGA,04/06/2023,12:00,FC Copenhagen,Randers FC,1.33,5.25,8.5
SPAIN - LALIGA,04/06/2023,13:30,Real Sociedad,Sevilla,1.65,4.0,5.0
