League,N1,N2,N3
Argentina Prim B Nacional,D,H,D
Argentina Primera División,D,D,H
Australia A-League,A,D,D
Austria Bundesliga,A,D,A
Belgium Pro League,H,H,H
Bolivia LFPB,A,A,A
Brazil Serie A,A,D,H
Brazil Serie B,D,H,D
Brazil Serie C,D,H,D
Brazil Serie D,H,H,A
Bulgaria First League,A,D,D
Canada Canadian Premier League,D,A,D
Chile Primera B,A,H,A
Chile Primera División,D,A,A
Chile Segunda División,A,A,D
China Chinese Super League,H,D,H
Colombia Categoria Primera A,H,A,H
Colombia Categoria Primera B,H,A,D
Croatia Prva HNL,H,H,D
Czech Republic First League,H,A,D
Denmark 1st Division,A,A,H
Denmark Superliga,H,D,A
Ecuador Primera Categoría Serie A,A,D,H
Egypt Egyptian Premier League,H,A,D
England Championship,A,H,A
England EFL League One,A,A,H
England EFL League Two,A,D,A
England National League,A,H,H
England Premier League,A,H,H
Finland Veikkausliiga,D,D,D
France Ligue 1,A,A,A
France Ligue 2,H,A,A
Germany 2. Bundesliga,A,H,D
Germany Bundesliga,D,H,H
Greece Super League,H,H,A
Hungary NB I,A,A,H
Italy Serie A,H,H,D
Italy Serie B,D,H,A
Japan J1 League,D,H,H
Japan J2 League,H,A,D
Mexico Ascenso MX,A,A,A
Mexico Liga MX,D,D,D
Netherlands Eerste Divisie,A,A,H
Netherlands Eredivisie,A,D,H
Netherlands Tweede Divisie,H,H,H
Norway Eliteserien,D,D,H
Paraguay Division Profesional,H,D,H
Peru Primera División,D,H,A
Poland Ekstraklasa,H,H,D
Portugal Liga NOS,H,A,H
Portugal LigaPro,A,A,D
Republic of Ireland Premier Division,H,H,A
Romania Liga I,H,H,D
Scotland Premiership,H,A,D
Serbia SuperLiga,H,A,H
Slovakia Super Liga,D,A,H
Slovenia PrvaLiga,D,H,D
South Korea K League 1,A,D,A
South Korea K League 2,D,A,A
Spain La Liga,A,A,A
Spain Segunda División,H,H,H
Sweden Allsvenskan,D,H,H
Switzerland Super League,A,A,A
Tunisia Ligue 1,H,D,H
Turkey Süper Lig,H,D,H
USA MLS,H,A,D
USA USL Championship,A,H,D
Ukraine Ukrainian Premier League,A,H,D
Uruguay Primera División,A,D,H
Uruguay Segunda División,H,H,H
Venezuela Primera División,D,H,D
