League,Date,Time,Rodada,Home,Away,FT_Odd_H,FT_Odd_D,FT_Odd_A,FT_Odd_Over05,FT_Odd_Under05,FT_Odd_Over15,FT_Odd_Under15,FT_Odd_Over25,FT_Odd_Under25,FT_Odd_Over35,FT_Odd_Under35,FT_Odd_Over45,FT_Odd_Under45,FT_Odd_BTTS_Yes,FT_Odd_BTTS_No
Ukraine Ukrainian Premier League,2023-05-25,07:00:00,28,Minai,Rukh Vynnyky,2.62,3.06,2.9,1.07,6.4,1.41,2.6,2.15,1.62,4.2,1.17,8.3,1.03,1.96,1.8
Ukraine Ukrainian Premier League,2023-05-25,08:00:00,28,Lviv,Chornomorets,6.4,4.2,1.46,1.05,11.5,1.28,3.3,1.98,1.8,3.2,1.3,5.75,1.1,2.12,1.67
Ukraine Ukrainian Premier League,2023-05-25,08:00:00,28,Inhulets,Metalist 1925 Kharkiv,1.93,3.35,3.91,1.09,6.75,1.42,2.65,2.2,1.6,4.1,1.2,8.5,1.06,2.0,1.7
Ukraine Ukrainian Premier League,2023-05-25,09:00:00,28,Hirnyk,Metal Kharkiv,1.61,3.85,5.1,1.04,12.0,1.27,3.5,1.85,1.9,3.05,1.32,5.5,1.11,1.85,1.85
Sweden Allsvenskan,2023-05-25,14:00:00,18,Degerfors,Hammarby,3.9,3.6,1.87,1.03,15.0,1.22,4.3,1.83,1.95,2.88,1.42,5.5,1.16,1.65,2.18
Bulgaria First League,2023-05-25,14:15:00,3,Beroe,Spartak Varna,1.55,3.95,5.6,1.05,9.0,1.3,3.4,1.88,1.9,3.25,1.33,5.5,1.12,1.91,1.8
Spain La Liga,2023-05-25,14:30:00,36,RCD Mallorca,Valencia CF,2.9,2.95,2.7,1.12,6.5,1.56,2.45,2.7,1.45,5.5,1.15,12.0,1.03,2.2,1.62
Switzerland Super League,2023-05-25,15:30:00,35,Grasshopper,St. Gallen,1.89,3.75,3.65,1.02,20.0,1.17,4.75,1.45,2.55,2.2,1.62,3.75,1.25,1.42,2.75
Switzerland Super League,2023-05-25,15:30:00,35,Lugano,Young Boys,2.65,3.55,2.43,1.03,17.5,1.18,4.5,1.57,2.25,2.55,1.5,4.0,1.22,1.53,2.4
Switzerland Super League,2023-05-25,15:30:00,35,Servette,Basel,1.89,3.75,3.65,1.03,19.0,1.18,4.5,1.5,2.4,2.3,1.58,4.0,1.22,1.52,2.45
Switzerland Super League,2023-05-25,15:30:00,35,Sion,Luzern,3.1,3.75,2.17,1.03,12.0,1.19,4.2,1.53,2.35,2.3,1.53,4.2,1.19,1.51,2.35
Switzerland Super League,2023-05-25,15:30:00,35,Winterthur,Zürich,2.6,3.5,2.55,1.04,11.5,1.22,4.0,1.7,2.0,2.9,1.4,4.5,1.17,1.62,2.25
Italy Serie B,2023-05-25,15:30:00,0,Cosenza,Brescia,2.6,3.0,2.6,1.07,6.5,1.37,2.8,2.2,1.6,4.0,1.2,7.5,1.06,1.95,1.8
England Premier League,2023-05-25,16:00:00,32,Manchester United,Chelsea,1.71,4.0,4.6,1.01,13.0,1.18,4.5,1.6,2.3,2.4,1.55,4.0,1.22,1.62,2.2
Portugal LigaPro,2023-05-25,16:15:00,34,Moreirense FC,Sporting Covilhã,1.5,4.6,6.2,1.0,10.5,1.22,3.8,1.81,2.03,2.62,1.42,4.0,1.2,1.75,1.95
Spain La Liga,2023-05-25,16:30:00,36,CA Osasuna,Athletic Club Bilbao,3.15,3.3,2.33,1.05,8.5,1.33,3.2,2.05,1.75,3.3,1.3,6.5,1.09,1.8,1.95
Colombia Categoria Primera B,2023-05-25,18:00:00,18,Cúcuta Deportivo,Valledupar,1.55,3.6,5.5,1.04,9.25,1.3,2.9,2.08,1.73,3.45,1.22,7.0,1.07,2.0,1.62
Argentina Prim B Nacional,2023-05-25,19:00:00,17,Aldosivi,Ferro Carril Oeste,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Argentina Prim B Nacional,2023-05-25,19:00:00,17,Deportivo Riestra,Gimnasia Jujuy,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Argentina Prim B Nacional,2023-05-25,19:00:00,17,Racing Córdoba,Quilmes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Argentina Prim B Nacional,2023-05-25,19:00:00,17,Atlanta,Brown de Adrogué,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Argentina Prim B Nacional,2023-05-25,19:00:00,17,Tristán Suárez,Estudiantes Caseros,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Argentina Prim B Nacional,2023-05-25,19:00:00,17,Chacarita Juniors,Atlético Rafaela,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Argentina Prim B Nacional,2023-05-25,19:00:00,17,Club Atlético Mitre,Deportivo Madryn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Argentina Prim B Nacional,2023-05-25,19:00:00,17,Chaco For Ever,Villa Dálmine,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Argentina Prim B Nacional,2023-05-25,19:00:00,17,Independiente Rivadavia,Deportivo Maipú,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Colombia Categoria Primera B,2023-05-25,21:30:00,18,Patriotas Boyacá,Cortuluá,1.65,3.5,5.0,1.05,8.5,1.33,2.75,2.15,1.66,3.65,1.2,7.5,1.06,2.05,1.58
Mexico Liga MX,2023-05-25,23:00:00,0,Tigres UANL,Guadalajara,1.97,3.25,3.93,1.07,8.75,1.37,2.9,2.18,1.62,4.0,1.22,8.75,1.07,1.9,1.8
