League,N1,N2,N3
ALBANIA - SUPERLIGA,A,D,D
ANDORRA - PRIMERA DIVISIÓ,A,D,D
ARGENTINA - COPA DE LA LIGA PROFESIONAL,H,D,H
ARGENTINA - PRIMERA NACIONAL,D,D,H
ARMENIA - PREMIER LEAGUE,A,A,H
AUSTRALIA - A-LEAGUE,D,H,H
AUSTRIA - 2. LIGA,D,A,D
AUSTRIA - BUNDESLIGA,A,A,A
AZERBAIJAN - PREMIER LEAGUE,A,A,A
BELARUS - VYSSHAYA LIGA,A,H,H
BELGIUM - CHALLENGER PRO LEAGUE,D,D,D
BELGIUM - JUPILER PRO LEAGUE,A,A,A
BOLIVIA - DIVISION PROFESIONAL,H,H,A
BOSNIA AND HERZEGOVINA - PREMIJER LIGA BIH,H,H,D
BRAZIL - SERIE A,A,D,D
BRAZIL - SERIE B,H,D,D
BULGARIA - PARVA LIGA,H,H,D
CAMEROON - ELITE ONE,D,D,H
CHILE - PRIMERA DIVISION,A,A,A
COSTA RICA - PRIMERA DIVISION,A,H,H
CROATIA - HNL,D,A,H
ECUADOR - LIGA PRO,D,D,A
EGYPT - PREMIER LEAGUE,A,D,A
ENGLAND - CHAMPIONSHIP,H,D,D
ENGLAND - LEAGUE ONE,D,A,D
ENGLAND - LEAGUE TWO,H,A,D
ENGLAND - PREMIER LEAGUE,A,A,D
ESTONIA - MEISTRILIIGA,H,D,D
GEORGIA - CRYSTALBET EROVNULI LIGA,H,D,D
GHANA - PREMIER LEAGUE,H,D,H
INDIA - I-LEAGUE,D,H,D
IRAQ - SUPER LEAGUE,A,D,D
ITALY - SERIE C,H,D,A
IVORY COAST - LIGUE 1,D,H,A
MEXICO - LIGA MX,H,H,D
MOLDOVA - SUPER LIGA,H,A,A
MONTENEGRO - PRVA CRNOGORSKA LIGA,D,D,H
MOROCCO - BOTOLA PRO,D,D,H
NETHERLANDS - EREDIVISIE,D,D,A
NETHERLANDS - TWEEDE DIVISIE,A,D,A
NICARAGUA - LIGA PRIMERA,D,H,D
NIGERIA - NPFL,D,D,D
NORTH MACEDONIA - 1. MFL,A,A,H
NORTHERN IRELAND - NIFL CHAMPIONSHIP,D,H,H
NORTHERN IRELAND - NIFL PREMIERSHIP,A,H,D
PARAGUAY - PRIMERA DIVISION,D,D,A
POLAND - DIVISION 1,D,A,D
POLAND - EKSTRAKLASA,H,A,H
PORTUGAL - LIGA PORTUGAL,H,D,D
PORTUGAL - LIGA PORTUGAL 2,A,A,H
REPUBLIC OF THE CONGO - LIGUE 1,A,A,H
ROMANIA - LIGA 1,H,A,A
ROMANIA - LIGA 2,A,A,D
RUSSIA - PREMIER LEAGUE,A,D,D
SAN MARINO - CAMPIONATO SAMMARINESE,H,D,H
SAUDI ARABIA - SAUDI PROFESSIONAL LEAGUE,D,D,A
SCOTLAND - CHAMPIONSHIP,H,D,H
SCOTLAND - LEAGUE ONE,D,H,A
SCOTLAND - LEAGUE TWO,H,D,A
SCOTLAND - PREMIERSHIP,A,D,D
SENEGAL - LIGUE 1,H,D,D
SERBIA - PRVA LIGA,D,H,D
SERBIA - SUPER LIGA,D,D,H
SLOVAKIA - NIKE LIGA,H,A,A
SLOVENIA - PRVA LIGA,A,A,H
SOUTH KOREA - K LEAGUE 1,D,H,D
SOUTH KOREA - K LEAGUE 2,H,D,A
SPAIN - LALIGA2,H,D,A
SPAIN - PRIMERA RFEF,H,H,H
SWEDEN - SUPERETTAN,A,D,D
SWITZERLAND - CHALLENGE LEAGUE,A,A,D
SWITZERLAND - SUPER LEAGUE,D,H,D
URUGUAY - PRIMERA DIVISION,A,A,H
USA - MLS,A,D,H
UZBEKISTAN - SUPER LEAGUE,A,A,A
